Geographic Area Name,industry,median_income,Gender
Minnesota,Construction,63405,All
Mississippi,Construction,41007,All
Missouri,Construction,51755,All
Montana,Construction,51757,All
Nebraska,Construction,50239,All
Nevada,Construction,54656,All
New Hampshire,Construction,61595,All
New Jersey,Construction,60574,All
New Mexico,Construction,50060,All
New York,Construction,57578,All
North Carolina,Construction,44008,All
North Dakota,Construction,50709,All
Ohio,Construction,52000,All
Oklahoma,Construction,44538,All
Oregon,Construction,60958,All
Pennsylvania,Construction,53350,All
Rhode Island,Construction,50299,All
South Carolina,Construction,45266,All
South Dakota,Construction,48748,All
Tennessee,Construction,43774,All
Texas,Construction,46389,All
Utah,Construction,51548,All
Vermont,Construction,50845,All
Virginia,Construction,51130,All
Washington,Construction,65604,All
West Virginia,Construction,50434,All
Wisconsin,Construction,56912,All
Wyoming,Construction,51180,All
Puerto Rico,Construction,22566,All
Alabama,Manufacturing,48917,All
Alaska,Manufacturing,42357,All
Arizona,Manufacturing,61529,All
Arkansas,Manufacturing,44097,All
California,Manufacturing,67182,All
Colorado,Manufacturing,70213,All
Connecticut,Manufacturing,73879,All
Delaware,Manufacturing,62317,All
District of Columbia,Manufacturing,119208,All
Florida,Manufacturing,52383,All
Georgia,Manufacturing,48864,All
Hawaii,Manufacturing,62198,All
Idaho,Manufacturing,50714,All
Illinois,Manufacturing,56443,All
Indiana,Manufacturing,53667,All
Iowa,Manufacturing,51878,All
Kansas,Manufacturing,53678,All
Kentucky,Manufacturing,51197,All
Louisiana,Manufacturing,69468,All
Maine,Manufacturing,52712,All
Maryland,Manufacturing,74305,All
Massachusetts,Manufacturing,79510,All
Michigan,Manufacturing,61191,All
Minnesota,Manufacturing,59064,All
Mississippi,Manufacturing,44542,All
Missouri,Manufacturing,51937,All
Montana,Manufacturing,54233,All
Nebraska,Manufacturing,47523,All
Nevada,Manufacturing,51784,All
New Hampshire,Manufacturing,64322,All
New Jersey,Manufacturing,75194,All
New Mexico,Manufacturing,51331,All
New York,Manufacturing,60586,All
North Carolina,Manufacturing,50513,All
North Dakota,Manufacturing,57479,All
Ohio,Manufacturing,53724,All
Oklahoma,Manufacturing,50341,All
Oregon,Manufacturing,60663,All
Pennsylvania,Manufacturing,59942,All
Rhode Island,Manufacturing,55223,All
South Carolina,Manufacturing,51689,All
South Dakota,Manufacturing,49834,All
Tennessee,Manufacturing,47117,All
Texas,Manufacturing,61205,All
Utah,Manufacturing,51577,All
Vermont,Manufacturing,51169,All
Virginia,Manufacturing,58237,All
Washington,Manufacturing,73681,All
West Virginia,Manufacturing,56364,All
Wisconsin,Manufacturing,53040,All
Wyoming,Manufacturing,61433,All
Puerto Rico,Manufacturing,25646,All
Alabama,Wholesale trade,52407,All
Alaska,Wholesale trade,53159,All
