Month,Boro,Community District,BC_SNAP_Recipients,BC_SNAP_Households
9/1/20,Manhattan,M01,2276,1799
9/1/20,Manhattan,M02,2994,2438
9/1/20,Manhattan,M03,37879,26041
9/1/20,Manhattan,M04,13035,9802
9/1/20,Manhattan,M05,6159,4317
9/1/20,Manhattan,M06,5550,4773
9/1/20,Manhattan,M07,17310,12817
9/1/20,Manhattan,M08,6009,4680
9/1/20,Manhattan,M09,23273,15315
9/1/20,Manhattan,M10,32474,20991
9/1/20,Manhattan,M11,43970,27654
9/1/20,Manhattan,M12,47223,32431
9/1/20,Bronx,B01,47212,25740
9/1/20,Bronx,B02,23150,12855
9/1/20,Bronx,B03,45086,24750
9/1/20,Bronx,B04,58248,32582
9/1/20,Bronx,B05,56964,31471
9/1/20,Bronx,B06,40944,22427
9/1/20,Bronx,B07,48615,27942
9/1/20,Bronx,B08,18344,10971
9/1/20,Bronx,B09,56722,31336
9/1/20,Bronx,B10,20119,12173
9/1/20,Bronx,B11,26117,15220
9/1/20,Bronx,B12,40805,22463
9/1/20,Brooklyn,K01,53243,21872
9/1/20,Brooklyn,K02,14517,9883
9/1/20,Brooklyn,K03,46697,25904
9/1/20,Brooklyn,K04,25812,16297
9/1/20,Brooklyn,K05,67886,39365
9/1/20,Brooklyn,K06,11464,7584
9/1/20,Brooklyn,K07,21759,13160
9/1/20,Brooklyn,K08,21157,14040
9/1/20,Brooklyn,K09,22023,13644
9/1/20,Brooklyn,K10,18480,10988
9/1/20,Brooklyn,K11,36796,21874
9/1/20,Brooklyn,K12,62525,20597
9/1/20,Brooklyn,K13,32606,21761
9/1/20,Brooklyn,K14,32143,19171
9/1/20,Brooklyn,K15,28671,17944
9/1/20,Brooklyn,K16,40015,22838
9/1/20,Brooklyn,K17,32954,21224
9/1/20,Brooklyn,K18,31455,19046
9/1/20,Queens,Q01,24865,14936
9/1/20,Queens,Q02,11731,7355
9/1/20,Queens,Q03,25576,14672
9/1/20,Queens,Q04,27250,15787
9/1/20,Queens,Q05,20237,11840
9/1/20,Queens,Q06,10780,7395
9/1/20,Queens,Q07,28354,18494
9/1/20,Queens,Q08,19237,11464
9/1/20,Queens,Q09,23776,13674
9/1/20,Queens,Q10,17636,10528
9/1/20,Queens,Q11,7626,5033
9/1/20,Queens,Q12,47792,28803
9/1/20,Queens,Q13,22301,14059
9/1/20,Queens,Q14,30889,16829
9/1/20,Staten Island,S01,39400,20918
9/1/20,Staten Island,S02,15810,9214
9/1/20,Staten Island,S03,11396,7091
12/1/20,Manhattan,M01,2211,1709
12/1/20,Manhattan,M02,2963,2407
12/1/20,Manhattan,M03,36972,25354
12/1/20,Manhattan,M04,12912,9703
12/1/20,Manhattan,M05,6014,4257
12/1/20,Manhattan,M06,5383,4582
12/1/20,Manhattan,M07,16999,12550
12/1/20,Manhattan,M08,5950,4637
12/1/20,Manhattan,M09,22386,14826
12/1/20,Manhattan,M10,30998,20155
12/1/20,Manhattan,M11,42630,26858
12/1/20,Manhattan,M12,45845,31591
12/1/20,Bronx,B01,45563,24989
12/1/20,Bronx,B02,22329,12438
12/1/20,Bronx,B03,43446,23953
12/1/20,Bronx,B04,55972,31491
12/1/20,Bronx,B05,54750,30436
12/1/20,Bronx,B06,39669,21738
12/1/20,Bronx,B07,47059,27206
12/1/20,Bronx,B08,17915,10761
12/1/20,Bronx,B09,54999,30515
12/1/20,Bronx,B10,19741,12008
12/1/20,Bronx,B11,25471,14864
12/1/20,Bronx,B12,39777,21969
12/1/20,Brooklyn,K01,51257,21182
12/1/20,Brooklyn,K02,13870,9515
12/1/20,Brooklyn,K03,43981,24535
12/1/20,Brooklyn,K04,24490,15670
12/1/20,Brooklyn,K05,64642,37679
12/1/20,Brooklyn,K06,11243,7401
12/1/20,Brooklyn,K07,21162,12911
12/1/20,Brooklyn,K08,19928,13254
12/1/20,Brooklyn,K09,20863,13093
12/1/20,Brooklyn,K10,18082,10778
12/1/20,Brooklyn,K11,35835,21477
12/1/20,Brooklyn,K12,59486,19831
12/1/20,Brooklyn,K13,31600,21215
12/1/20,Brooklyn,K14,31096,18663
12/1/20,Brooklyn,K15,27676,17471
12/1/20,Brooklyn,K16,37370,21604
12/1/20,Brooklyn,K17,31428,20375
12/1/20,Brooklyn,K18,29904,18219
12/1/20,Queens,Q01,24107,14563
12/1/20,Queens,Q02,11522,7216
12/1/20,Queens,Q03,24765,14250
12/1/20,Queens,Q04,26564,15373
12/1/20,Queens,Q05,19649,11574
12/1/20,Queens,Q06,10659,7307
12/1/20,Queens,Q07,27903,18278
12/1/20,Queens,Q08,18747,11224
12/1/20,Queens,Q09,23229,13415
12/1/20,Queens,Q10,17104,10332
12/1/20,Queens,Q11,7591,4996
12/1/20,Queens,Q12,45928,27735
12/1/20,Queens,Q13,21922,13756
12/1/20,Queens,Q14,29379,16221
12/1/20,Staten Island,S01,38258,20359
12/1/20,Staten Island,S02,15478,9027
12/1/20,Staten Island,S03,11284,7013
3/1/21,Bronx,B01,46370,25389
3/1/21,Bronx,B02,23080,12763
3/1/21,Bronx,B03,44548,24520
3/1/21,Bronx,B04,57383,32221
3/1/21,Bronx,B05,55977,31101
3/1/21,Bronx,B06,40500,22131
3/1/21,Bronx,B07,48114,27742
3/1/21,Bronx,B08,18337,10989
3/1/21,Bronx,B09,56588,31320
3/1/21,Bronx,B10,20358,12349
3/1/21,Bronx,B11,26180,15219
3/1/21,Bronx,B12,40884,22526
3/1/21,Brooklyn,K01,52233,21536
3/1/21,Brooklyn,K02,14337,9789
3/1/21,Brooklyn,K03,45014,25102
3/1/21,Brooklyn,K04,25096,16038
3/1/21,Brooklyn,K05,66213,38486
3/1/21,Brooklyn,K06,11626,7616
3/1/21,Brooklyn,K07,21577,13243
3/1/21,Brooklyn,K08,20524,13578
3/1/21,Brooklyn,K09,21296,13315
3/1/21,Brooklyn,K10,18515,11011
3/1/21,Brooklyn,K11,36875,21909
3/1/21,Brooklyn,K12,61787,20429
3/1/21,Brooklyn,K13,31920,21324
3/1/21,Brooklyn,K14,31951,19020
3/1/21,Brooklyn,K15,28204,17657
3/1/21,Brooklyn,K16,38928,22331
3/1/21,Brooklyn,K17,32384,20974
3/1/21,Brooklyn,K18,30444,18618
3/1/21,Manhattan,M01,2219,1682
3/1/21,Manhattan,M02,3035,2459
3/1/21,Manhattan,M03,37580,25682
3/1/21,Manhattan,M04,13424,10043
3/1/21,Manhattan,M05,6031,4332
3/1/21,Manhattan,M06,5469,4642
3/1/21,Manhattan,M07,17394,12819
3/1/21,Manhattan,M08,6105,4746
3/1/21,Manhattan,M09,23008,15169
3/1/21,Manhattan,M10,31502,20380
3/1/21,Manhattan,M11,43180,27126
3/1/21,Manhattan,M12,46906,32133
3/1/21,Queens,Q01,24993,15047
3/1/21,Queens,Q02,11846,7379
3/1/21,Queens,Q03,25330,14587
3/1/21,Queens,Q04,27511,15867
3/1/21,Queens,Q05,20180,11916
3/1/21,Queens,Q06,10875,7405
3/1/21,Queens,Q07,28863,18855
3/1/21,Queens,Q08,19394,11499
3/1/21,Queens,Q09,23940,13834
3/1/21,Queens,Q10,17841,10712
3/1/21,Queens,Q11,7868,5154
3/1/21,Queens,Q12,47144,28382
3/1/21,Queens,Q13,22504,14033
3/1/21,Queens,Q14,30355,16584
3/1/21,Staten Island,S01,38964,20751
3/1/21,Staten Island,S02,15985,9256
3/1/21,Staten Island,S03,11368,7085
6/1/21,Manhattan,M01,2214,1673
6/1/21,Manhattan,M02,3080,2509
6/1/21,Manhattan,M03,38166,26167
6/1/21,Manhattan,M04,13845,10457
6/1/21,Manhattan,M05,5992,4460
6/1/21,Manhattan,M06,5508,4705
6/1/21,Manhattan,M07,17849,13164
6/1/21,Manhattan,M08,6284,4902
6/1/21,Manhattan,M09,23451,15498
6/1/21,Manhattan,M10,32100,20847
6/1/21,Manhattan,M11,44290,27919
6/1/21,Manhattan,M12,48472,33217
6/1/21,Bronx,B01,46929,25890
6/1/21,Bronx,B02,23648,13182
6/1/21,Bronx,B03,45183,25123
6/1/21,Bronx,B04,58977,33266
6/1/21,Bronx,B05,57058,31939
6/1/21,Bronx,B06,41489,22800
6/1/21,Bronx,B07,49393,28583
6/1/21,Bronx,B08,19044,11462
6/1/21,Bronx,B09,58219,32329
6/1/21,Bronx,B10,21052,12827
6/1/21,Bronx,B11,27054,15799
6/1/21,Bronx,B12,42172,23355
6/1/21,Brooklyn,K01,53124,22027
6/1/21,Brooklyn,K02,14699,10120
6/1/21,Brooklyn,K03,45996,25795
6/1/21,Brooklyn,K04,25863,16595
6/1/21,Brooklyn,K05,68216,39906
6/1/21,Brooklyn,K06,11990,7877
6/1/21,Brooklyn,K07,22458,13885
6/1/21,Brooklyn,K08,21006,14027
6/1/21,Brooklyn,K09,21943,13763
6/1/21,Brooklyn,K10,19086,11418
6/1/21,Brooklyn,K11,38109,22586
6/1/21,Brooklyn,K12,63523,21127
6/1/21,Brooklyn,K13,32430,21608
6/1/21,Brooklyn,K14,32852,19547
6/1/21,Brooklyn,K15,28918,18056
6/1/21,Brooklyn,K16,39754,23090
6/1/21,Brooklyn,K17,33645,21883
6/1/21,Brooklyn,K18,31491,19360
6/1/21,Queens,Q01,25628,15606
6/1/21,Queens,Q02,12135,7642
6/1/21,Queens,Q03,26366,15219
6/1/21,Queens,Q04,28731,16628
6/1/21,Queens,Q05,21046,12452
6/1/21,Queens,Q06,11190,7612
6/1/21,Queens,Q07,30056,19665
6/1/21,Queens,Q08,20012,11868
6/1/21,Queens,Q09,24995,14435
6/1/21,Queens,Q10,18519,11138
6/1/21,Queens,Q11,8230,5352
6/1/21,Queens,Q12,48369,29245
6/1/21,Queens,Q13,23310,14577
6/1/21,Queens,Q14,30902,17035
6/1/21,Staten Island,S01,39842,21361
6/1/21,Staten Island,S02,16473,9545
6/1/21,Staten Island,S03,11784,7321
9/1/21,Manhattan,M01,2163,1619
9/1/21,Manhattan,M02,3001,2435
9/1/21,Manhattan,M03,37595,25623
9/1/21,Manhattan,M04,13471,10112
9/1/21,Manhattan,M05,5314,4038
9/1/21,Manhattan,M06,5315,4463
9/1/21,Manhattan,M07,17466,12899
9/1/21,Manhattan,M08,6254,4869
9/1/21,Manhattan,M09,22836,15030
9/1/21,Manhattan,M10,31501,20336
9/1/21,Manhattan,M11,43557,27261
9/1/21,Manhattan,M12,47635,32561
9/1/21,Bronx,B01,45886,25219
9/1/21,Bronx,B02,22894,12777
9/1/21,Bronx,B03,43820,24360
9/1/21,Bronx,B04,57144,32414
9/1/21,Bronx,B05,55572,31063
9/1/21,Bronx,B06,40506,22265
9/1/21,Bronx,B07,48108,27865
9/1/21,Bronx,B08,18512,11165
9/1/21,Bronx,B09,56721,31566
9/1/21,Bronx,B10,20830,12583
9/1/21,Bronx,B11,26601,15551
9/1/21,Bronx,B12,41311,22781
9/1/21,Brooklyn,K01,51887,21226
9/1/21,Brooklyn,K02,14234,9723
9/1/21,Brooklyn,K03,44542,24700
9/1/21,Brooklyn,K04,25032,15934
9/1/21,Brooklyn,K05,65996,38331
9/1/21,Brooklyn,K06,11574,7558
9/1/21,Brooklyn,K07,22113,13618
9/1/21,Brooklyn,K08,20038,13252
9/1/21,Brooklyn,K09,21319,13217
9/1/21,Brooklyn,K10,18663,11143
9/1/21,Brooklyn,K11,37290,22173
9/1/21,Brooklyn,K12,62060,20581
9/1/21,Brooklyn,K13,31964,21230
9/1/21,Brooklyn,K14,32033,19022
9/1/21,Brooklyn,K15,28319,17676
9/1/21,Brooklyn,K16,38217,22108
9/1/21,Brooklyn,K17,32539,21021
9/1/21,Brooklyn,K18,30279,18650
9/1/21,Queens,Q01,24694,15072
9/1/21,Queens,Q02,11845,7478
9/1/21,Queens,Q03,25675,14875
9/1/21,Queens,Q04,27920,16289
9/1/21,Queens,Q05,20312,12049
9/1/21,Queens,Q06,11078,7534
9/1/21,Queens,Q07,29813,19525
9/1/21,Queens,Q08,19543,11596
9/1/21,Queens,Q09,24344,14133
9/1/21,Queens,Q10,17833,10767
9/1/21,Queens,Q11,8079,5298
9/1/21,Queens,Q12,46518,28034
9/1/21,Queens,Q13,22468,14081
9/1/21,Queens,Q14,30008,16427
9/1/21,Staten Island,S01,38889,20724
9/1/21,Staten Island,S02,16103,9312
9/1/21,Staten Island,S03,11504,7175
12/1/21,Manhattan,M01,2091,1594
12/1/21,Manhattan,M02,3006,2443
12/1/21,Manhattan,M03,37864,25959
12/1/21,Manhattan,M04,13240,10065
12/1/21,Manhattan,M05,4766,3789
12/1/21,Manhattan,M06,5251,4401
12/1/21,Manhattan,M07,17484,12948
12/1/21,Manhattan,M08,6301,4916
12/1/21,Manhattan,M09,22714,15033
12/1/21,Manhattan,M10,31138,20312
12/1/21,Manhattan,M11,43535,27496
12/1/21,Manhattan,M12,47122,32586
12/1/21,Bronx,B01,45322,25230
