Incident Date,State,City Or County,Address,# Killed,# Injured
11/9/15,Indiana,Indianapolis,400 block of North Beville Ave,2,2
11/8/15,Iowa,Des Moines,4397 NW 6th Drive,1,3
11/8/15,Michigan,Warren,13859 8 Mile Road,0,4
11/7/15,Colorado,Denver,Bayaud and Bannock,1,3
11/6/15,California,Bakersfield,1000 block of Feliz Drive,0,4
11/3/15,Florida,Jacksonville,Ella Street and Kings Road,2,3
11/2/15,South Carolina,Pendleton,2217 Refuge Road,4,0
10/28/15,Louisiana,Houma,400 Block of Morgan Street,1,3
10/27/15,Texas,Fort Worth,1700 Block of Southcrest Drive,0,5
10/26/15,Indiana,Evansville,711 E Virginia St,0,5
10/25/15,Arizona,Phoenix,Seventh Street and Broadway,1,4
10/25/15,District of Columbia,Washington,4300 block of Wheeler Road SE,0,5
10/25/15,North Carolina,Four Oaks,2339 Stricklands Crossroads Road,0,5
10/24/15,South Carolina,Bamberg,682 Dixie Ave.,0,4
10/22/15,Tennessee,Nashville,3500 John A. Merritt Boulevard,1,3
10/19/15,Illinois,Calumet City,300 Campbell Avenue,0,6
10/18/15,Louisiana,New Orleans,2600 block of Caffin Avenue,0,4
10/17/15,Florida,Fort Myers,2224 First St,1,4
10/17/15,Indiana,Elkhart,160 Easy Shopping Place,0,4
10/12/15,Georgia,Decatur,4731 Glenwood Road,0,4
10/10/15,Illinois,Peoria,2405 North Flora,1,3
10/10/15,North Carolina,Charlotte,1900 block of West Boulevard,0,4
10/10/15,Tennessee,Memphis,6135 Mount Moriah Road,0,6
10/9/15,Arizona,Flagstaff,216 E Mountain View Drive,1,3
10/6/15,Maryland,Baltimore,300 block of North Payson Street,0,5
10/2/15,Maryland,Baltimore,5400 Reisterstown Road,1,4
10/1/15,Oregon,Roseburg,1140 Umpqua College Rd,10,9
9/28/15,Illinois,Chicago,300 block of West 42nd Street,3,2
9/28/15,Illinois,Chicago,5300 block of South Aberdeen Street,2,3
9/28/15,Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,0,5
9/28/15,Ohio,Dayton,1921 Oakridge,0,4
9/27/15,Georgia,Greenville,1140 Hill Haven Road,0,10
9/27/15,Illinois,Chicago,5200 block of South Justine,0,4
9/27/15,Missouri,Kansas City,1700 E. 18th St.,0,4
9/25/15,Illinois,Danville,1300 block of May Street,0,4
9/24/15,Illinois,Chicago,5100 block of South Morgan Street,0,5
9/23/15,Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4
9/23/15,Georgia,Norcross,1300 block of Reddington Lane,1,3
9/23/15,Louisiana,Shreveport,2900 Block of Peach Street,0,5
9/20/15,Illinois,Chicago,5700 block of South LaSalle,1,5
9/20/15,Oklahoma,Tulsa,Pine and Yale,0,6
9/20/15,Pennsylvania,Philadelphia,900 block of Pratt Street,1,3
9/19/15,Indiana,Indianapolis,3900 block of Graceland Avenue,1,3
9/17/15,Michigan,Albion,500 block of W. Broadwell Street,0,4
9/17/15,South Dakota,Platte,36705 379th Street,6,0
9/15/15,New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,0,4
9/13/15,Florida,Ocala,1910 South Pine Avenue,1,5
9/12/15,Louisiana,Shreveport,1500 block of Clanton Street,0,4
9/12/15,Minnesota,Minneapolis,1st Ave. and N. 5th St.,0,6
9/12/15,Minnesota,Minneapolis,1200 block of 22nd Ave. N.,1,3
9/12/15,New York,Rochester,36 Woodward Street,2,4
9/11/15,North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,0,5
9/10/15,Minnesota,Excelsior (Greenwood),Channel Drive,5,0
9/8/15,Georgia,Berlin,N/A,0,4
9/8/15,Illinois,Chicago,56th and Green,0,4
9/7/15,Colorado,Denver,1909 Blake Street,0,4
9/7/15,Indiana,Gary,9300 block of Sunrise,2,4
9/5/15,Florida,Daytona Beach,300 block of Pearl Street,0,4
9/5/15,Missouri,Columbia,1509 Ashley Street,0,4
9/5/15,Nevada,Las Vegas,5000 Block of Hollywood Boulevard,1,3
9/5/15,North Carolina,Charlotte,6800 block of Fieldvale Place,1,3
8/30/15,Tennessee,Memphis,3300 block of Sobota Circle,1,4
8/29/15,Tennessee,Bristol,618 Henson Road,3,2
8/29/15,Texas,Tyler,638 ENE Loop 323,1,3
8/28/15,New York,Brooklyn,589 Flatbush Avenue,1,3
8/27/15,California,Salinas,928 Blanco Circle,2,2
8/26/15,Florida,West Palm Beach,800 block of 19th Street,2,2
8/26/15,Illinois,Chicago,3025 W. Van Buren Ave,1,3
8/26/15,Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4
8/25/15,Louisiana,New Orleans,Fern Street and Olive Street,1,3
8/23/15,California,Modesto,1100 block of Kansas Avenue,1,7
8/22/15,Florida,Orlando (Pine Hills),State Road 408,0,4
8/22/15,New Mexico,Roswell,302 East Reed Street,3,1
8/21/15,North Carolina,Durham,2700 block of Hinson Drive,0,8
8/21/15,Ohio,Cincinnati,Mathis and Prentice,2,5
8/20/15,Texas,Grulla (La Grulla),FM 2360,2,2
8/19/15,New York,Rochester,500 Genesee Street,3,4
8/16/15,Illinois,Chicago,5400 block of West Division Street,0,4
8/16/15,South Carolina,Bennettsville,Highway 38N,0,5
8/16/15,Texas,Fort Worth,3651 Sycamore School Rd,0,6
8/15/15,California,Los Angeles,57th Street and South Normandie Avenue,0,4
8/15/15,Pennsylvania,Pittsburgh,West Prospect Avenue,1,3
8/15/15,South Carolina,Orangeburg,2868 Bamberg Road,1,3
8/10/15,California,Long Beach,1700 block of East 10th Street,0,4
8/9/15,Michigan,Detroit,15200 block of Hazelridge,1,3
8/9/15,Mississippi,Forest,Poplar Street,1,3
8/9/15,Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4
8/8/15,Arkansas,Blytheville,833 Anderson Street,1,11
8/8/15,North Carolina,Gastonia,4908 Greenwood Drive,2,3
8/8/15,Texas,Houston,2211 Falling Oaks,8,0
8/7/15,Vermont,Barre (Berlin),3182 Airport Road,4,0
8/6/15,South Carolina,Columbia,1505 Garden Plaza,0,4
8/4/15,Missouri,Saint Louis,2500 block of Semple,1,4
8/3/15,New York,Brooklyn,98 Dwight Street,0,5
8/2/15,Georgia,Savannah,Barnard Street,0,5
8/2/15,Illinois,Chicago,4800 block of West Kamerling Avenue,1,4
8/2/15,Illinois,Chicago,6700 block of South Winchester Avenue,0,4
8/2/15,Maryland,Baltimore,2700 block of Garrison Avenue,0,7
8/2/15,New York,Brooklyn,Stanley Avenue and Crescent Street,0,9
8/1/15,Florida,Orlando,5801 Shenandoah Way,0,4
7/30/15,Pennsylvania,Pittsburgh,Brushton Avenue,0,4
7/27/15,Illinois,Rockford,900 block of Kent Street,0,5
7/26/15,Louisiana,New Orleans,Piety and Treasure street,0,4
7/26/15,Missouri,Kansas City,Thompson and Colorado,2,3
7/25/15,Virginia,Hopewell,500 block of N. 7th Ave,0,4
7/24/15,Pennsylvania,Erie,200 block of West 29th Street,2,4
7/23/15,Louisiana,Lafayette,3141 Johnson Street,3,9
7/22/15,Georgia,Suwanee,5500 block of Old Atlanta Road,5,0
7/21/15,Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3
7/20/15,New York,Bronx,E. 153rd St. and the Grand Concourse,0,6
7/19/15,Kentucky,Louisville,2928 W Kentucky St,0,6
7/19/15,North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4
7/19/15,Virginia,Suffolk,100 block of North Capitol Street,0,4
7/18/15,California,San Diego,200 block of South Bancroft Street,0,4
7/18/15,California,Santa Paula,Ojai-Santa Paula Street,0,5
7/18/15,Louisiana,Baton Rouge,300 Block of Brice Street,2,2
7/18/15,Oregon,Salem,1550 Weston Ct NE,1,4
7/17/15,Illinois,Chicago,4400 block of W. Maypole,0,5
7/17/15,Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4
7/16/15,Tennessee,Chattanooga,4051 Amnicola Highway,6,2
7/16/15,Texas,Dallas,Singleton and Hampton,0,5
7/15/15,Georgia,Atlanta,500 block of Center Hill Avenue,0,5
7/15/15,Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3
7/15/15,Michigan,Detroit,9200 block of Memorial,0,4
7/15/15,Ohio,Cleveland,700 block of Thornhill,0,7
7/15/15,South Carolina,Holly Hill,7050 Old State Road,4,1
7/14/15,Missouri,Saint Louis,1100 block of Riverview,0,4
7/13/15,California,Norwalk,11959 162nd Street,0,4
7/13/15,California,Stockton,400 block of McCloud Avenue,1,4
7/12/15,Illinois,River Forest,116 Lathrop Avenue,2,3
7/12/15,New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4
7/7/15,Maryland,Baltimore,900 block of West Fayette Street,3,1
7/5/15,Indiana,Fort Wayne,1400 block of McCulloch Street,0,9
7/5/15,Louisiana,Shreveport,3500 block of Hearne Avenue,0,8
7/5/15,New Jersey,East Orange,200 block of S. Clinton St,1,3
7/4/15,District of Columbia,Washington,2600 Douglas Place SE,1,3
7/4/15,Kentucky,Louisville,2500 block of West Broadway,0,4
7/4/15,Massachusetts,Pittsfield,Dewey Avenue,1,4
7/4/15,New York,Syracuse,Bellevue and Rich Street,0,4
7/4/15,Texas,San Antonio,1100 block of West Avenue,0,4
7/2/15,Indiana,Indianapolis,Lynn and Michigan,1,3
6/29/15,Florida,Opa Locka,13450 N.W. 30th Ave,0,4
6/28/15,Delaware,Harrington,100 block of East St,0,6
6/28/15,Illinois,Venice,N/A,0,6
6/28/15,Michigan,Detroit,Gratiot and Loretto,0,5
6/27/15,Massachusetts,Taunton,Weir Street,1,3
6/27/15,Michigan,Detroit,Stringham Court,0,4
6/24/15,New York,New York (Manhattan),2110 Madison Ave,0,4
6/22/15,Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7
6/21/15,Kentucky,Lexington,726 Georgetown St,1,4
6/21/15,Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4
6/20/15,Michigan,Detroit,Dexter and Webb,1,11
6/20/15,North Carolina,Morven,N/A,0,4
6/20/15,Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11
6/19/15,Rhode Island,Woonsocket,80 River Street,0,4
6/17/15,South Carolina,Charleston,110 Calhoun Street,9,0
6/16/15,Florida,Miami Gardens,600 block of Northwest 177th Street,0,4
6/15/15,New York,Brooklyn,673 Flatbush Avenue,0,4
6/14/15,Missouri,Saint Louis,1400 block of North Market Street,0,4
6/14/15,New Jersey,Camden,2800 block of Saunders Street,1,3
6/14/15,Oklahoma,Tulsa,1800 block of North Kingston,0,4
6/13/15,Georgia,Fayetteville,600 block of Highway 279,1,4
6/13/15,Georgia,Milledgeville,451 North Flynn Street,1,3
6/13/15,New York,Bronx,2409 Creston Avenue,0,5
6/13/15,Ohio,Columbus,1623 E. Hudson Street,4,1
6/13/15,Oklahoma,Oklahoma City,500 block of Se 69th St,0,4
6/12/15,Florida,Allapattah,24th Avenue and 36th Street,0,4
6/11/15,Connecticut,Bridgeport,468 Trumbull Avenue,1,8
6/11/15,Texas,Houston,3400 Block of Burkett,1,3
6/10/15,California,Los Angeles,South Vermont Avenue and West 88th Street,1,3
6/9/15,Missouri,Saint Louis,North Market Street and North Spring Avenue,1,3
6/7/15,Montana,Deer Lodge,Boulder Creek Road,5,0
6/6/15,Illinois,Chicago,100 block of North Lorel Avenue,0,5
6/6/15,New York,Buffalo,100 block of Warren Avenue,1,4
6/5/15,Iowa,Davenport,900 block of West 3rd St,0,5
6/5/15,Louisiana,New Orleans,2100 Block of Governor Nicholls Street,1,3
6/3/15,New York,Wyandanch,Davidson Street,3,1
5/31/15,Connecticut,New Haven,849 Chapel Street,0,5
5/31/15,Georgia,Conyers,4669 Bell Road SE,3,2
5/31/15,Maryland,Springdale,9222 Ardwick Ardmore Road,1,3
5/31/15,Ohio,Cleveland,16209 block of Laverne Avenue,3,1
5/30/15,California,San Diego,4200 block of Market Street,0,4
5/28/15,Illinois,Chicago,6200 block of South Honore Street,0,5
5/28/15,Nebraska,Omaha,84th and Q,0,4
5/28/15,Pennsylvania,Chester,2700 block of West 3rd Street,1,3
5/26/15,Louisiana,New Orleans,6700 Block of Tara Lane,2,2
5/25/15,Illinois,Decatur,1816 N. Water,1,4
5/24/15,Alabama,Montgomery,Smiley Court,1,3
5/24/15,Massachusetts,Brockton,1002 Main St,0,5
5/24/15,Michigan,Flint,W. 12th Street and Hammerberg Road.,0,7
5/24/15,Missouri,Saint Louis,2700 block of Dayton,0,4
5/23/15,California,Fresno,2400 block of South 9th Street,2,2
5/20/15,Maryland,Baltimore,800 block of Linwood Avenue,1,4
5/18/15,Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,1,4
5/18/15,Missouri,Kinloch,8000 block of School Way,0,4
5/17/15,Texas,Waco,4671 S Jack Kultgen Expy,9,18
5/16/15,Maryland,Baltimore,1700 block of North Broadway,0,5
5/16/15,New York,Rochester,188 Lewis Street,0,4
5/16/15,Wisconsin,Milwaukee,28th Street and Auer Avenue,0,5
5/12/15,Arizona,Tucson,800 block of West Calle Medina Road,5,0
5/12/15,Maryland,Capitol Heights,Pard Road,1,4
5/10/15,New Jersey,Jersey City,Bostwick Avenue,0,4
5/10/15,New Jersey,Newark,19th Avenue and South 16th Street,1,3
5/10/15,Ohio,Cleveland,3600 block of Bosworth Road,1,4
5/7/15,Ohio,Cincinnati,2300 block of Baltimore Avenue,0,4
5/4/15,New York,Buffalo,100 block of Roosevelt Avenue,1,3
5/3/15,Indiana,South Bend,1600 block of South William Street,0,4
5/3/15,New York,Bronx,University Avenue,0,4
5/3/15,Ohio,Dayton,2801 Germantown Street,1,6
5/3/15,Texas,Houston,San Jacinto at Elgin,0,6
5/3/15,Wisconsin,Menasha,North Lake Street,4,1
5/1/15,Wisconsin,Milwaukee,3700 block of 37th Street,2,3
4/27/15,Arizona,Gila Bend,State Route 85,2,2
4/27/15,New York,Brooklyn,1365 Flatbush Ave,2,4
4/25/15,New Jersey,Trenton,Wood Street,0,4
4/25/15,New York,Gates,24 Hinchey Rd,1,6
4/21/15,Texas,Killeen,420 Gilmer St.,2,3
4/19/15,Virginia,Richmond,200 block of West Hill Street,0,4
4/18/15,Alabama,Montgomery,1800 block of Gibbs Court,0,5
4/18/15,New Jersey,Patterson,230 Rosa Parks Boulevard,1,3
4/18/15,North Carolina,Lumberton,Martin Luther King Drive,1,3
4/18/15,North Carolina,Charlotte,Bost Street,0,4
4/18/15,Pennsylvania,Williamsport,300 block of Pine Street,0,5
4/16/15,Arizona,Phoenix,4300 block of East Anderson Drive,5,0
4/7/15,Georgia,Rome,20 Copeland Street,1,3
4/5/15,Indiana,Indianapolis,5000 block of Wildflower Court,0,5
4/5/15,Kentucky,Louisville,40th and Grand Street,1,4
4/5/15,Michigan,Benton Harbor,1000 block of Blossom Lane,0,4
4/5/15,Pennsylvania,Pittsburgh,Dinwiddie Street,1,3
4/3/15,Florida,Daytona Beach,300 block of Henry Butts Drive,0,4
4/2/15,Maryland,Baltimore,1900 block of West Lanvale Street,0,5
3/27/15,Florida,Panama City Beach,5312 Thomas Drive,0,7
3/26/15,Texas,Amarillo,3100 block of Redwood,0,4
3/24/15,Indiana,Indianapolis,3100 block of North Harding Street,4,0
3/23/15,Tennessee,Clarksville,900 block of Carpenter Street,1,4
3/22/15,New Mexico,Albuquerque,10140 Lomas NE,1,6
3/21/15,Florida,Tampa,1802 Seventh Ave,0,4
3/20/15,Texas,Lancaster,1500 block of Reynolds Street,1,5
3/18/15,Arizona,Mesa,1504 West Main Street,1,5
3/18/15,New Jersey,Newark,200 block of Clinton Place,1,3
3/17/15,California,Stockton,748 N Madison St,3,4
3/15/15,California,Compton,2700 block of West Alondra Boulevard,0,4
3/14/15,California,Coachella,84000 block of Bagdad Avenue,0,4
3/14/15,Georgia,Atlanta,2900 block of Delmar Lane,0,5
3/13/15,Mississippi,Brookhaven,1097 South First St.,2,3
3/10/15,Georgia,Columbus,3023 Victory Drive,0,5
3/9/15,Illinois,Chicago,200 block of West 105th,1,3
3/8/15,South Carolina,Seneca,Wells Highway,1,3
3/4/15,California,San Bernardino,190 block of West Club Center Drive,2,5
3/1/15,Florida,Orange County,4900 block of Steyr Street,0,4
3/1/15,Michigan,Detroit,9855 Chalmers St,1,5
2/28/15,Maryland,Baltimore,4300 block of Welbourne Road,1,3
2/26/15,Missouri,Tyrone,18279 Highway H,8,1
2/25/15,Texas,Houston,Mallow St.,3,3
2/22/15,Georgia,Clarkesville,281 Lower Pond Court,3,2
2/22/15,South Carolina,Charleston,4224 Dorchester Road,0,4
2/22/15,Texas,Killeen,1706 Godman St.,4,1
2/20/15,California,Sacramento,1417 R Street,0,4
2/17/15,Arkansas,Little Rock,7900 Scott Hamilton,1,3
2/15/15,California,Long Beach,200 block of W. 14th Street,0,5
2/9/15,Florida,New Port Richey,9552 Adler Street,3,1
2/8/15,Tennessee,Maury City,251 Dupree Road,0,6
2/7/15,Georgia,Douglasville,3640 Willow Tree Circle,5,2
2/6/15,Oklahoma,Tulsa,1219 N. Sheridan Road,1,4
2/5/15,Ohio,Beachwood (Warrensville Heights),Harvard Road,3,3
2/1/15,New York,Syracuse,1217 West Fayette Street,0,6
2/1/15,New York,New York (Manhattan),3345 Broadway,1,4
1/31/15,Georgia,Lagrange,100 block of Woodstream Trail,4,0
1/28/15,Georgia,Dekalb County,1600 block of Panola Road,1,3
1/26/15,California,Stockton,1500 block of E. 9th Street,1,3
1/24/15,Nebraska,Omaha,3402 Parker St,3,5
1/24/15,New York,Arverne (Queens),231-11 148th Avenue,4,1
1/23/15,Massachusetts,Boston,954 Parker Street,0,6
1/20/15,Tennessee,Clarksville,321 Lansinger Lane,1,3
1/19/15,Texas,San Antonio,1000 block of Gibbs St.,2,5
1/16/15,California,Oakland,105th and Edes,2,2
1/13/15,Illinois,Rockford,700 block of Oakley Avenue,2,2
1/13/15,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,0,5
1/11/15,California,San Jose,3840 Monterey Hwy,0,5
1/11/15,Florida,Lakeland,7665 Chase Road,1,3
1/11/15,North Carolina,Hope Mills,1900 block of Gumberry Road,2,5
1/10/15,Kansas,Wichita,4859 E Harry Street,2,2
1/9/15,California,San Francisco,Laguna and Page streets,4,0
1/8/15,Massachusetts,Boston,104 Harrishof Street,1,3
1/7/15,Tennessee,Chattanooga,773 West Main Street,1,3
1/6/15,Florida,Miami,1300 block of NW 62nd Street,1,3
1/4/15,Texas,Dallas,2000 block of Ben Hur St.,3,1
1/4/15,Virginia,Roanoke,3634 Shenandoah Ave NW,2,4
1/2/15,Georgia,Savannah,500 block of W. 54th Street,1,4
1/1/15,Tennessee,Memphis,Interstate 240 and Poplar Avenue,0,5
12/31/14,California,Los Angeles,81st Street and Western Avenue,1,3
12/29/14,Louisiana,New Orleans,Poydras and Bolivar,0,4
12/27/14,California,Los Angeles,8800 block of South Figueroa Street,1,3
12/27/14,California,Sacramento,4000 block of May Street,0,4
12/26/14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3
12/24/14,Missouri,Saint Louis,18th and Pine,1,3
12/23/14,Kentucky,Winchester,260 Oxford Drive,1,3
12/22/14,Illinois,Chicago,5700 block of South Green Street,0,5
12/22/14,Michigan,Detroit,Charlevoix and Philip,1,3
12/22/14,New York,Webster,191 Lake Road,3,2
12/21/14,Florida,Sarasota,South Washington Boulevard,2,2
12/21/14,Illinois,Calumet City,600 block of Escanba,1,8
12/21/14,Mississippi,Waynesboro,Central Avenue,1,4
12/20/14,Illinois,Rockford,3200 block of Montrose Avenue,4,0
12/16/14,New Jersey,Elizabeth,Anna Street,0,4
12/14/14,Florida,Miami,1311 Northwest 2nd Avenue,1,4
12/13/14,Florida,Tampa,810 E. Skagway Ave.,0,5
12/12/14,Georgia,Macon,2822 Bloomfield Drive,3,3
12/12/14,Oregon,Portland,717 North Killingsworth Court,0,4
12/7/14,Indiana,South Bend,16000 block of Roosevelt Road,0,4
12/2/14,Missouri,Saint Louis,6000 block of Virginia Avenue,1,5
12/2/14,Virginia,Newport News,6128 Jefferson Ave ,0,5
11/30/14,New York,Brooklyn,375 Remsen Avenue,0,4
11/30/14,Tennessee,Chattanooga,2412 East 13th Street ,0,5
11/29/14,Georgia,Atlanta,1600 block of Richmond Avenue,3,2
11/29/14,New Jersey,Newark,348 S Orange Ave,1,3
11/28/14,Tennessee,Memphis,1849 East Brooks Road ,0,4
11/27/14,Texas,Weir,County Road 934,2,3
11/26/14,California,San Francisco,Mission and 13th streets,0,6
11/23/14,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4
11/23/14,Virginia,Accomack County,Parksley Road,0,4
11/22/14,Ohio,Cleveland,1400 block of East 92nd Street,4,1
11/22/14,Ohio,Springfield,Clifton Avenue and Rice Street,1,3
11/22/14,South Dakota,Sisseton,Fourth Avenue,4,1
11/21/14,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6
11/19/14,Illinois,Chicago,700 block of North St. Louis Avenue,1,3
11/18/14,Nevada,North Las Vegas,Englestad Street,0,4
11/16/14,Ohio,Akron,1891 East Market Street,1,4
11/16/14,Texas,El Paso,115 S. Durango,0,6
11/15/14,Florida,Miami,NW 55th and 12th,1,3
11/15/14,Missouri,Springfield,2555 N. Glenstone,4,0
11/8/14,California,Pomona,499 E. Arrow Highway,0,5
11/7/14,California,Compton,136th Street ,0,4
11/7/14,California,Los Angeles,East 126th Street and North Compton Avenue,0,4
11/5/14,California,San Francisco,1100 block of Alabama Street ,0,4
10/29/14,Tennessee,Memphis,Yale Road and Ramill Road,0,5
10/26/14,Kentucky,Cadiz,1410 Old Dover Road,4,0
10/24/14,California,Sacramento,2030 Arden Way,2,3
10/24/14,Washington,Marysville,5611 108th St Ne,5,1
10/18/14,New York,Queens,33-02 Queens Blvd,0,4
10/18/14,New York,Brooklyn,Lenox Road,0,4
10/18/14,South Carolina,Graniteville,192 Breezy Hill Road,1,3
10/16/14,Michigan,Detroit,Mogul Street,1,3
10/14/14,Georgia,Peachtree Corners,6505 Bannor Lane,3,2
10/13/14,Georgia,Atlanta,85 Mount Zion Road,0,4
10/12/14,California,Stockton,1100 block of East March Lane,3,1
10/12/14,Georgia,Atlanta,Arthur Langford Jr Place,1,3
10/11/14,New York,Utica,222 Bleecker Street,0,5
10/8/14,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4
10/8/14,New York,Guilderland,1846 Western Ave,4,0
10/5/14,Florida,Jacksonville,7300 block of Linda Drive,3,1
10/5/14,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5
10/4/14,California,Pomona,1925 West Holt Avenue ,0,4
10/4/14,Tennessee,Memphis,1400 block of Gherald Street,2,2
9/29/14,California,Fresno,2300 block of West Fountain Way ,0,4
9/29/14,South Carolina,Walterboro,29 Sandy Dam Lane,1,7
9/28/14,Florida,Miami,NW 7th Ave and NW 64th Street,0,15
9/28/14,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4
9/27/14,Missouri,Saint Louis,2000 block East John Avenue,0,5
9/26/14,South Carolina,Darlington County,600 block of Turner Road,1,4
9/21/14,Ohio,East Liverpool,440 First St,0,4
9/20/14,Mississippi,Panola County,N/A,2,2
9/19/14,New York,Queens,32-14 106th St,0,4
9/18/14,Florida,Bell,NW 30th Street and NW 39th Terrace,8,0
9/15/14,Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5
9/14/14,Alaska,Anchorage,225 E Fifth,0,6
9/14/14,Texas,Flour Bluff,229 Naval Air Station Drive,3,1
9/11/14,Michigan,Detroit,14000 block of Patton,1,7
9/6/14,Florida,Orange County,South Orange Blossom Trail,0,4
9/6/14,Georgia,Macon,576 Poplar Street,0,5
9/4/14,Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5
9/3/14,California,Los Angeles,East 27th and Stanford ,0,6
9/2/14,California,Highland,25000 block of Fifth Street ,0,5
9/2/14,Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3
8/31/14,California,Livermore,200 block of South Q Street ,0,5
8/29/14,Florida,Brooksville,820 Peach St,3,1
8/27/14,Michigan,Detroit,16600 block of Edmore,1,3
8/24/14,California,San Fernando,1400 block of Celis Street ,3,4
8/24/14,Georgia,Augusta,1013 Carrie Street,1,3
8/24/14,Illinois,Chicago,8300 block of South Halsted Street,1,3
8/20/14,Tennessee,Memphis,1400 block of Briarcrest Lane,0,5
8/18/14,Louisiana,Saint Martinville,Main and Hyacinth streets,0,4
8/17/14,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3
8/17/14,Massachusetts,Boston,Edinboro Street,0,4
8/17/14,Nevada,Las Vegas,Owens Avenue and H Street,0,4
8/17/14,New York,Queens,153-38 118th Ave,0,4
8/16/14,New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3
8/16/14,Utah,Salt Lake City,122 Pierpont Avenue,0,6
8/14/14,Tennessee,Memphis,797 Pope Street,1,3
8/13/14,Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4
8/13/14,Tennessee,Clarksville,Treeland Drive,0,4
8/12/14,Georgia,Bartow County,Brent Circle,2,3
8/12/14,New York,Buffalo,Oakmont Avenue,1,3
8/10/14,California,Moreno Valley,16300 block of Heather Glen Road ,0,7
8/10/14,District of Columbia,Washington,N Street SW,0,6
8/10/14,Georgia,Wrightsville,N/A,0,6
8/10/14,Louisiana,New Orleans,5400 block of Burgundy Street,2,5
8/9/14,Minnesota,Minneapolis,400 3rd Ave N,1,8
8/8/14,District of Columbia,Washington,Second Street and Todd Place NE,0,4
8/8/14,New Mexico,Albuquerque,3426 Vassar NE,1,3
8/8/14,Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4
8/6/14,California,Bakersfield,1700 block of Quincy Street ,3,1
8/4/14,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5
8/3/14,Missouri,Saint Louis,5200 block of Thekla ,0,5
8/3/14,Tennessee,Columbia,East 9th Street and Bridge Street,0,5
8/3/14,Texas,Spring,T.C Jester and FM 1960,0,7
8/3/14,Virginia,Culpeper,4400 block of Rixeyville Road,5,0
8/2/14,Massachusetts,New Bedford,Acushnet Avenue,0,7
8/2/14,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5
8/2/14,Texas,Dallas,5125 Wynell Street,3,1
8/2/14,Wisconsin,Beloit,1218 Henry Ave,1,3
8/1/14,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3
7/30/14,North Carolina,Fayetteville,Bramblegate Road,3,2
7/30/14,North Carolina,Cumberland County,5100 New Moon Drive,3,3
7/28/14,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4
7/27/14,Missouri,Saint Louis,2000 block of East John Avenue,0,5
7/26/14,Arkansas,Pine Bluff,N/A,1,3
7/26/14,Georgia,Sylvester,Royal Street,0,8
7/26/14,Maine,Saco,35 Water Street,5,0
7/25/14,Illinois,Chicago,700 South California Avenue,1,6
7/23/14,Pennsylvania,North Braddock,700 block of Hickory Street,0,4
7/21/14,New Jersey,Irvington,36 Welland Avenue,0,6
7/21/14,Tennessee,Memphis,300 block of Foote Park Lane,0,4
7/20/14,Illinois,Washington Park,5103 Bunkhum Road,1,3
7/20/14,Missouri,Saint Louis,5100 block of Bunkum Road,1,3
7/20/14,Nevada,Las Vegas,Rancho Drive 3400 block ,1,3
7/19/14,Illinois,Chicago,1300 North Mason Avenue,0,4
7/14/14,California,Sacramento,Fulton Avenue ,1,4
7/13/14,Connecticut,Stamford,84 West Park Place,0,5
7/13/14,District of Columbia,Washington,1700 block of Lincoln Road NE,0,4
7/13/14,Washington,Skyway,12600 Renton Avenue South ,0,5
7/12/14,California,Pasadena,1700 block of Summit Avenue,3,2
7/12/14,California,Pasadena,1700 block of Summit Avenue,3,2
