SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
266765785,4/6/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,MANHATTAN,24,993480,230424,40.79913178,-73.96666287,POINT (-73.96666287 40.79913178)
266337954,4/6/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,84,988983,194223,40.69977273,-73.98293072,POINT (-73.98293072 40.69977273)
266315125,4/7/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,109,1030630,213662,40.75300768,-73.83259955,POINT (-73.83259955 40.75300768)
266397106,4/8/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,71,1000916,181160,40.66390334,-73.93992739,POINT (-73.93992739 40.66390334)
266532194,4/11/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE HISPANIC,0,BROOKLYN,90,1004376,197426,40.70854259,-73.92740723,POINT (-73.92740723 40.70854259)
266567870,4/11/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,25,1000748,234008,40.80895829,-73.94040334,POINT (-73.94040334 40.80895829)
266567873,4/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,114,1008434,218626,40.766722,-73.912691,POINT (-73.912691 40.766722)
266610088,4/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,23,998494,228888,40.79490922,-73.94855645,POINT (-73.94855645 40.79490922)
266610087,4/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,23,998494,228888,40.79490922,-73.94855645,POINT (-73.94855645 40.79490922)
266599569,4/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,MANHATTAN,23,998494,228888,40.79490922,-73.94855645,POINT (-73.94855645 40.79490922)
266599862,4/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,69,1014866,170207,40.63380251,-73.88969436,POINT (-73.88969436 40.63380251)
266599566,4/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK HISPANIC,0,MANHATTAN,25,1001264,232832,40.80572952,-73.93854235,POINT (-73.93854235 40.80572952)
266602644,4/12/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,23,998494,228888,40.79490922,-73.94855645,POINT (-73.94855645 40.79490922)
266657858,4/13/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,WHITE HISPANIC,0,BROOKLYN,78,990283,186903,40.67968022,-73.9782489,POINT (-73.9782489 40.67968022)
266695295,4/14/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,MANHATTAN,30,999516,241317,40.82902165,-73.94483714,POINT (-73.94483714 40.82902165)
266870228,4/18/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK HISPANIC,0,MANHATTAN,30,997828,240127,40.8257582,-73.95093904,POINT (-73.95093904 40.8257582)
266873085,4/18/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,2,BROOKLYN,81,1002397,189962,40.688061,-73.934564,POINT (-73.934564 40.688061)
267169470,4/19/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK HISPANIC,2,QUEENS,114,1002895,220799,40.77269888,-73.93268428,POINT (-73.93268428 40.77269888)
266995409,4/20/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BRONX,47,1026305,262216,40.88629613,-73.84790556,POINT (-73.84790556 40.88629613)
267050352,4/20/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,65+,M,BLACK,0,BROOKLYN,90,1001531,194940,40.701728,-73.937673,POINT (-73.937673 40.701728)
267194753,4/25/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,BROOKLYN,61,988932,156374,40.59588546,-73.98314092,POINT (-73.98314092 40.59588546)
267510897,4/27/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,MANHATTAN,28,996904,234747,40.81099298,-73.95428784,POINT (-73.95428784 40.81099298)
267510653,4/28/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK HISPANIC,0,BRONX,44,1007441,246174,40.84233545,-73.9161838,POINT (-73.9161838 40.84233545)
267547551,5/1/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,45-64,M,BLACK,0,BROOKLYN,73,1009574,180395,40.661785,-73.908722,POINT (-73.908722 40.661785)
267734117,5/2/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,45-64,M,WHITE HISPANIC,0,BROOKLYN,83,1006306,195216,40.702473,-73.920451,POINT (-73.920451 40.702473)
