state,#_killed,#_injured,year,pop.
New Mexico,133,122,2016,2081015
New York,1275,416,2016,19745289
North Carolina,1205,576,2016,10146788
North Dakota,33,18,2016,757952
Ohio,1455,628,2016,11614373
Oklahoma,414,243,2016,3923561
Oregon,168,95,2016,4093465
Pennsylvania,1220,556,2016,12784227
Rhode Island,84,14,2016,1056426
South Carolina,726,387,2016,4961119
South Dakota,32,23,2016,865454
Tennessee,1163,470,2016,6651194
Texas,1614,1313,2016,27862596
Utah,86,70,2016,3051217
Vermont,10,13,2016,624594
Virginia,1051,398,2016,8411808
Washington,301,183,2016,7288000
West Virginia,175,99,2016,1831102
Wisconsin,450,222,2016,5778708
Wyoming,12,18,2016,585501
Alabama,856,544,2017,4874486
Alaska,70,69,2017,739700
Arizona,298,289,2017,7044008
Arkansas,437,216,2017,3001345
California,1953,1423,2017,39358497
Colorado,300,199,2017,5611885
Connecticut,293,89,2017,3573297
Delaware,241,56,2017,956823
DC,340,100,2017,694906
Florida,1801,950,2017,20963613
Georgia,1057,658,2017,10410330
Hawaii,20,8,2017,1424393
Idaho,34,47,2017,1717715
Illinois,3629,959,2017,12778828
Indiana,737,407,2017,6658078
Iowa,229,71,2017,3141550
Kansas,264,152,2017,2908718
Kentucky,518,273,2017,4452268
Louisiana,1184,549,2017,4670560
Maine,36,33,2017,1334612
Maryland,855,480,2017,6023868
Massachusetts,456,128,2017,6859789
Michigan,771,369,2017,9973114
Minnesota,282,115,2017,5566230
Mississippi,593,324,2017,2988510
Missouri,921,609,2017,6106670
Montana,33,41,2017,1052482
Nebraska,152,47,2017,1915947
Nevada,218,200,2017,2969905
New Hampshire,30,23,2017,1348787
New Jersey,663,275,2017,8885525
New Mexico,141,125,2017,2091784
New York,1092,347,2017,19589572
North Carolina,1153,556,2017,10268233
North Dakota,33,15,2017,754942
Ohio,1517,700,2017,11659650
Oklahoma,384,249,2017,3931316
Oregon,170,99,2017,4143625
Pennsylvania,1188,635,2017,12787641
Rhode Island,79,11,2017,1055673
South Carolina,791,395,2017,5021268
South Dakota,21,19,2017,872868
Tennessee,1198,495,2017,6708799
Texas,1565,1169,2017,28295273
Utah,110,70,2017,3101042
Vermont,11,9,2017,624344
Virginia,939,385,2017,8463587
Washington,352,230,2017,7423362
West Virginia,156,81,2017,1817004
Wisconsin,519,209,2017,5790186
Wyoming,13,9,2017,578931
Alabama,219,135,2018,4887681
Alaska,19,11,2018,735139
Arizona,73,85,2018,7158024
Arkansas,83,43,2018,3009733
California,432,304,2018,39461588
Colorado,79,61,2018,5691287
Connecticut,57,17,2018,3571520
Delaware,28,8,2018,965479
District of Columbia,61,25,2018,#N/A
Florida,379,267,2018,21244317
Georgia,203,128,2018,10511131
Hawaii,8,1,2018,1420593
Idaho,9,14,2018,1750536
Illinois,572,165,2018,12723071
Indiana,131,96,2018,6695497
Iowa,36,10,2018,3148618
Kansas,55,38,2018,2911359
Kentucky,125,77,2018,4461153
Louisiana,240,129,2018,4659690
Maine,3,8,2018,1339057
Maryland,163,79,2018,6035802
Massachusetts,80,22,2018,6882635
Michigan,188,122,2018,9984072
Minnesota,64,26,2018,5606249
Mississippi,136,106,2018,2981020
Missouri,215,128,2018,6121623
Montana,13,5,2018,1060665
Nebraska,31,11,2018,1925614
Nevada,56,61,2018,3027341
New Hampshire,10,1,2018,1353465
New Jersey,72,57,2018,8886025
New Mexico,24,37,2018,2092741
New York,150,67,2018,19530351
North Carolina,244,108,2018,10381615
North Dakota,7,3,2018,758080
Ohio,277,139,2018,11676341
Oklahoma,92,44,2018,3940235
Oregon,39,31,2018,4181886
Pennsylvania,238,136,2018,12800922
Rhode Island,13,5,2018,1058287
South Carolina,192,89,2018,5084156
South Dakota,13,7,2018,878698
Tennessee,210,98,2018,6771631
Texas,374,310,2018,28628666
Utah,33,10,2018,3153550
Vermont,3,4,2018,624358
Virginia,187,72,2018,8501286
Washington,83,54,2018,7523869
West Virginia,34,23,2018,1804291
Wisconsin,118,46,2018,5807406
Wyoming,0,10,2018,577601
