Date,location,operator,planeType,Dead,Aboard,Ground,,,
9/15/51,"Bangalore, India",Air India,Douglas C-47A-30-DK Dakota III,22,28,0,,,
9/27/51,Near Tachikawa Air Base,Military - US Air Force,Fairchild C-119C-15-FA Flying Boxcar,14,14,0,,,
9/29/51,"La Paz, Bolivia",Frigorifico Cooperativo Los Andes,Curtiss C-46D-15-CU,27,27,0,,,
10/8/51,"Cerro Blanco, Mexico",Aero Transportes,Douglas DC-3,8,8,0,,,
10/15/51,"East Griqualand, South Africa",South African Airways,Douglas DC-3,17,17,0,,,
10/15/51,North Atlantic,Military - U.S. Air Force,Boeing C-97A Stratofreighter,12,12,0,,,
10/17/51,"Mt. Benson, BC, Canada",Queen Charlotte Airlines,Consolidated PBY-5A Catalina,23,23,0,,,
10/22/51,"Skopje, Yugoslavia",JAT Yugoslav Airlines,Douglas DC-3,12,12,0,,,
10/27/51,"Near Flores, Guatemala",Military - Guatemalan Air Force,Douglas C-47,27,29,0,,,
11/5/51,"Near Tucumcari, New Mexico",Transocean Air Lines,Martin 202,1,29,0,,,
11/13/51,"Puy-de-D????me, France",Military - U. S. Air Force,Fairchild C-82 Packet,36,36,0,,,
11/15/51,"Near Lodz, Poland",LOT Polish Airlines,Lisunov Li-2P,18,18,0,,,
11/17/51,"Near  Novosibirsk, Russia",Aeroflot,Ilyushin IL-12,23,23,0,,,
11/19/51,"Cairo, Egypt",Devlet Hava Yollari,Douglas DC-3,5,5,0,,,
11/21/51,"Calcutta, India",Deccan Airways,Douglas DC-3,16,17,0,,,
11/24/51,"Zurich, Switzerland",El Al,Douglas DC-4,6,7,0,,,
11/27/51,"San Luis Acatlan, Mexico",Lineas Aereas Unidas,DC-2-243,13,21,0,,,
12/4/51,"Denver, Colorado",United Air Lines,Douglas DC-3A,3,3,0,,,
12/13/51,"Yaramunda, Papua, New Guinea",Qantas,de Havilland DH-84 Dragon,3,3,0,,,
12/16/51,"Elizabeth, New Jersey",Miami Airlines,Curtiss Wright C-46F,56,56,1,,,
12/23/51,"Tehran, Iran",Misrair,SNCASE Languedoc,22,22,0,,,
12/27/51,"Near Namtso, Russia",Aeroflot,Li-2,20,20,0,,,
12/29/51,"Near Little Valley, New York",Continental Charters,Curtiss C-46A-50-CU,26,40,0,,,
12/30/51,"Near Phoenix, Arizona",Military - U.S. Air Force,Douglas C-47D,28,28,0,,,
12/30/51,"Near Fairbanks, Alaska",Transocean Air Lines,Curtiss C 46F-CU,4,4,0,,,
12/31/51,"Calcutta, India",Kalinga Airlines,Douglas C-47A,3,3,0,,,
1/2/52,"Andapa, Madagascar",Air France,Junkers JU-52/3m,6,11,0,,,
1/10/52,"Com Edno, Ireland",Aer Lingus,Douglas DC-3,23,23,0,,,
1/19/52,"Off Sandspit, BC, Canada",Northwest Orient Airlines,Douglas DC-4,36,43,0,,,
1/22/52,"Elizabeth, New Jersey",American Airlines,Convair CV-240-0,23,23,7,,,
2/4/52,"Kikwit, Belgian Congo",Sabena,Douglas DC-3,15,15,0,,,
2/7/52,"Kaneko, Japan",Military - U.S. Air Force,Boeing B-29,13,13,5,,,
2/11/52,"Elizabeth, New Jersey",National Airlines,Douglas DC-6,29,63,4,,,
2/16/52,"Near Burgio, Italy",Hunting Air Travel,Vickers 614 Viking 1,31,31,0,,,
2/19/52,"Nagpur, India",Deccan Airways,Douglas DC-3,3,16,0,,,
2/19/52,"Near Yaounde, Cameroon",STAAP,Consolidated  32 Liberator II,9,9,0,,,
2/28/52,"Uberlandia,  Brazil",Panair do Brasil,Douglas DC-3A,8,8,0,,,
3/3/52,"Nice, France",Air France,SNCASE Languedoc,38,38,0,,,
3/10/52,"Cebu, Philippines",Philippine Air Lines,Douglas C-47A-35-DL,3,3,0,,,
3/12/52,"Near Sequin, Texas",Military - U.S. Air Force / U.S. Air Force,Boeing B-29 / Boeing B-29,15,15,NA,,,
3/22/52,"Near Gaspe, Quebec, Canada",Maritime Central Airways,Douglas C-47-DL,4,4,0,,,
3/22/52,"Frankfurt, Germany",KLM Royal Dutch Airlines,Douglas DC-6,45,47,0,,,
3/24/52,"Near Gao, French West Africa",Soci????t???? A????rienne de Tr. Tropicaux,Lockheed 18 Lodestar,17,21,0,,,
3/26/52,"Moscow, Russia",Aeroflot,?,70,70,0,,,
3/29/52,"Near San Felipe, Venezuela",TACA,Douglas DC-3,12,12,0,,,
3/30/52,"Baguio, Philippines",Philippine Air Lines,Douglas DC-3,10,29,0,,,
4/5/52,"New York, New York",US Airlines,Curtiss C-46F-1-CU,2,2,3,,,
4/9/52,"Mihara Volcano, Japan",Japan Air Lines,Martin 202,37,37,0,,,
4/10/52,"Agartala, India",Kalinga Airlines,Douglas C-47A,4,4,0,,,
4/11/52,"North of San Juan, Puerto Rico",Pan American World Airways,Douglas DC-4,52,69,0,,,
4/18/52,"Near Whittier, California",North Continental Airlines (Robin Airlines),Curtiss C-46F-1CU,29,29,0,,,
4/29/52,"Near Carolina, Brazil",Pan American World Airways,Boeing 377-10-26 Stratocruiser,50,50,0,,,
4/30/52,"Delhi,  India",Deccan Airways,Douglas DC-3,9,9,0,,,
5/5/52,"Near Skien, Norway",Fred Olsen Flyveselskap,Douglas C-47A,11,29,0,,,
5/9/52,"Ipoh, Malaysia",Garuda Indonesia Airlines,Douglas DC-3,17,17,0,,,
5/13/52,"Sao Paulo, Brazil",VASP,Douglas DC-3,5,22,0,,,
5/24/52,"Near Manaus, Brazil",Loide A????reo Nacional,Curtiss C-46A,6,6,0,,,
5/26/52,"Near Atar, Mauritania",British Overseas Airways,Handley Page HP-81 Hermes IV,1,18,0,,,
6/13/52,Baltic Sea,Swedish Air Force,Douglas DC-3,8,8,0,,,
6/14/52,English Channel,Morton Air,de Havilland Consul,6,NA,NA,,,
6/24/52,"Lakenheath AFB, England",Military - U.S. Air Force,Boeing B-50 Superfortress,11,11,0,,,
6/25/52,"Off Northumberland, North Sea",Military - Royal Air Force,Avro Shackleton MR-1,11,13,0,,,
7/18/52,"Whiting Field, near Milton, Florida",Military - Navy,Fairchild packet (C119 flying boxcar),41,46,0,,,
7/27/52,"Off Rio de Janeiro, Brazil",Pan American World Airways,Boeing 377 Stratocruiser,1,27,0,,,
8/12/52,"Palmeira de Goias, Brazil",Transportes Areos Nacionales,Douglas DC-3,24,24,0,,,
8/21/52,"Off Trapani, Italy",Airwork,Handley Page HP-81 Hermes 4A,7,57,0,,,
8/26/52,"Near Khewra, West Pakistan",Military - Pakistan Air Force,Bristol 170 Freighter,18,18,0,,,
8/29/52,"Kosti, Sudan",Phoenix Airlines,Douglas DC-2-115B,2,4,0,,,
9/6/52,"Near Farnsborough, England",Private - de Havilland Aircraft,de Havilland 110,1,1,29,,,
9/10/52,"San Blas, Panama",SAM Colombia,Curtiss C-46,46,46,0,,,
9/15/52,"Wadi Halfa, Sudan",Kalinga Airlines,Douglas C-47A,3,3,0,,,
10/5/52,"Skvoritsy, Russia",Aeroflot,Ilyushin IL-12,21,21,0,,,
10/8/52,"Off Tarbat Ness, Scotland",Military - Royal Air Force,Avro Shackleton MR-1,14,14,0,,,
10/14/52,"San Fransisco do Paula, Brazil",Aero Brasil,Douglas DC-3,14,28,0,,,
10/16/52,"Off Kangnung, South Korea",Military - U.S. Air Force,Curtiss-Wright C-46D-CU,25,25,0,,,
10/29/52,"Near Flagstaff, Arizona",Military - U.S. Air Force,Boeing KC-97G Stratofreighter,16,16,0,,,
11/6/52,"Lake Chad, Chad",Union Aeromaritime de Transport,Douglas C-54B-1-DC,5,6,0,,,
11/7/52,"Near Summit, Alaska",Military - U.S. Air Force,Fairchild C-119C,19,19,0,,,
11/14/52,"Near Seoul, South Korea",Military - U.S. Air Force,Fairchild C-119C,44,44,0,,,
11/15/52,"Near Anchorage, Alaska",Military - U.S. Air Force,Fairchild C-119C,20,20,0,,,
11/17/52,"Shepard, Montana",Military - U.S. Air Force,Fairchild C-119C-23-FA Flying Boxcar,9,16,0,,,
11/22/52,"Mount Gannett, Alaska",Military - U.S. Air Force,Douglas C-124A Globemaster,52,52,0,,,
11/28/52,"Near Tacoma, Washington",Military - U.S. Air Force,Douglas C-54G (DC-4),37,38,0,,,
12/6/52,"Near Sofia, Bugaria",TABSO,Lisunov Li-2,18,18,0,,,
12/6/52,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,Douglas DC-4,37,41,0,,,
12/20/52,"Moses Lake, Washington",Military - U.S. Air Force,Douglas C-124A Globemaster,87,115,0,,,
12/21/52,"Off Miami, Florida",Rutas A????reas Nacionales SA,Curtiss C-46D,3,3,0,,,
12/22/52,"Damascus, Syria",Syrian Air,Douglas DC-3,9,NA,NA,,,
12/25/52,"Tehran, Iran",Iran Air,Douglas DC-3,27,29,0,,,
12/25/52,"Off Caracas, Venezuela",Avensa,Douglas DC-3,3,5,0,,,
12/30/52,"Chinmen Island, Taiwan",Philippine Air Lines,Douglas DC-3,2,10,0,,,
1/5/53,"Belfast, Northern Ireland",British European Airways,Vickers Viking 610-1B,27,35,0,,,
1/7/53,"Issaquah, Washington",Flying Tiger Line,Douglas C-54B-10-DO,7,7,0,,,
1/7/53,"Fish Haven, Idaho",Associated Air Transport,Curtiss C-46,40,40,0,,,
1/15/53,"25 nm off Agrigento, Italy",Military -Royal Air Force,Vickers Valetta Mk1 / Avero Lancaster,26,26,0,,,
1/26/53,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,Douglas DC-3,19,19,0,,,
2/2/53,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),Avro 685 York 1,39,39,0,,,
2/3/53,"Lai Chau, Vietnam",Air Outremer,Douglas C-47B-15-DK,18,18,0,,,
2/7/53,"Bordeaux, France",UTA,Douglas C-54A-5-DC,7,21,0,,,
2/9/53,"Cairo, Egypt",Military - Egyptian Air Force,Curtiss-Wright C-46,30,35,0,,,
2/14/53,"Off Mobile, Alabama",National Airlines,Douglas DC-6,46,46,0,,,
3/3/53,"Karachi, Pakistan",Canadian Pacific Air Lines,de Havilland DH106 Comet 1A,11,11,0,,,
3/4/53,"Windsor Locks, Connecticut",Slick Airways,Curtiss C-46F,2,2,0,,,
3/14/53,"Kalasahar, India",Orient Airways,Convair CV-240-7,16,16,0,,,
3/17/53,"Off Da Nang, Vietnam",Aigle Azur,Douglas DC-3,8,8,0,,,
3/18/53,"Random Island, Newfoundland",Military - U.S. Air Force,Convair RB-36H,23,23,0,,,
3/20/53,"Alvarado, California",Transocean Air Lines,Douglas DC-4  (C-54-10-DO),35,35,0,,,
3/27/53,"Itapebi, Brazil",Transportes A????reos Salvador,de Havilland DH-114 Heron 1B,14,14,0,,,
3/29/53,"Mtara, Tanganyika",Central African Airways,Vickers 616 Viking 1B,13,13,0,,,
4/10/53,"Off Kingston, Jamaica",Caribbean International Airways,Lockheed 18-56 LodeStar,13,13,0,,,
4/10/53,"Near Anchieta Island, Brazil",REAL,Doublas Dc-3,26,NA,NA,,,
4/10/53,"Miandivazo, Madagascar",Air France,Junkers JU-5/-3m,5,5,0,,,
4/14/53,"Near Guwahati, India",Airways,Douglas C-47A,3,3,0,,,
4/14/53,"Selleck, Washington",Miami Airlines,Douglas DC-3 (C-47-DL),7,25,0,,,
4/16/53,"NW of Hanoi, Vietnam",Aigle Azur,Douglas DC-3,30,30,0,,,
4/20/53,"San Francisco Bay, California",Western Airlines,Douglas DC-6B,8,10,0,,,
5/2/53,"Near Jalalogori, West Bengal, India",British Overseas Airways,de Havilland DH106 Comet 1,43,43,0,,,
5/7/53,"Off Hartland Point, England",Military - Royal Air Force,Vickers Valetta T-3,10,10,0,,,
5/9/53,"New Delhi, India",Air India,Douglas DC-3,18,18,0,,,
5/11/53,"Prince Rupert, BC, Canada",Canadian Pacific Air Lines,Consolidated PBY-5A Catalina,2,19,0,,,
5/17/53,"Near Marshall, Texas",Delta Air Lines,Douglas DC-3,19,20,0,,,
5/24/53,"St. Louis, Missouri",Meteor Air,Douglas DC-3,6,7,NA,,,
5/25/53,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Convair CV-240-4,0,34,2,,,
5/27/53,"Goose Wade, Russia",Aeroflot,Li-2 / Li-2T,20,20,0,,,
6/14/53,"Near  Zugdidi, Georgia",Aeroflot,Ilyushin IL-2,18,18,0,,,
6/15/53,"San Ramon Mtns., Costa Rica",LACSA,Douglas DC-3,9,17,0,,,
6/15/53,"Near Reo Copiapo, Chile",LAN,Lockheed 18 Loadstar,7,7,0,,,
6/16/53,"Mount Phou-Lassy, French Indo-China",Aigle Azur,Douglas DC-3,34,34,0,,,
6/17/53,"Sao Paulo, Brazil",Panair do Brasil,Lockheed 049-46-21 Constellation,17,17,0,,,
6/18/53,"Tachikawa AFB, Tokyo, Japan",Military - U.S. Air Force,Douglas C-124A Globemaster II,129,129,0,,,
7/12/53,"Pacific Ocean, 325 miles east of Wake Island",Transocean Air Lines,Douglas DC-6A,58,58,0,,,
7/17/53,"Near Milton, Florida",Military - U.S. Navy,Fairchild R4Q-2,44,46,0,,,
7/27/53,"Near Kanggye, North Korea",Aeroflot,Ilyushin IL-12,21,21,0,,,
8/3/53,"Off Fethiye Point, Turkey",Air France,Lockheed L- 749A Constellation,4,42,0,,,
8/3/53,"Sharjah, United Arab Emirates",Orient Airways,Douglas DC-3,1,25,0,,,
8/5/53,Off Irish coast,Military - U.S. Air Force,Convair B-36,14,23,0,,,
8/18/53,"Near San Diego, California",Aerovias Contreras,Curtiss C-46A,2,2,0,,,
9/1/53,"Near Barcelonnette, France",Air France,Lockheed 749A Constellation,42,42,0,,,
9/1/53,"Vail, Washington",Regina Cargo Airlines,Douglas DC-3,21,21,0,,,
9/8/53,"San Andres, Honduras",TACA,Douglas C-47A,3,3,0,,,
9/14/53,"Chablekal, Mexico",Transportes A????reos Mexicanos,Douglas C-47A,1,2,0,,,
9/16/53,"Albany, New York",American Airlines,Convair CV-240-0,28,28,0,,,
9/25/53,"Ankara, Turkey",Devlet Hava Yollari,Douglas DC-3,5,21,0,,,
9/28/53,"Louisville, Kentucky",Resort Airlines,Curtiss C-46F-1-CU,25,41,0,,,
10/14/53,"Frankfurt, Germany",Sabena,Convair CV-240-12,44,44,0,,,
10/17/53,"Lai Chau, Vietnam",Compagnie Sila,Douglas C-47B,2,7,0,,,
10/19/53,"New York City, New York",Eastern Air Lines,Lockheed 749A Constellation,2,27,0,,,
10/19/53,"Near Monterrey, Mexico",Aerovias Contreras,Douglas C-46A-CU ( DC-3),21,21,0,,,
10/27/53,"Near Magadan, Russia",Aeroflot,Ilyushin IL-12,22,32,NA,,,
10/29/53,"Near Half Moon Bay, California",British Commonwealth Pacific Airlines,Douglas DC-6,19,19,0,,,
10/31/53,"Kharkov. Ukraine, Russia",Aeroflot,Li-2,15,16,0,,,
11/3/53,"Tarabuco, Bolivia",Lloyd Aereo Boliviano,Douglas DC-3,28,28,0,,,
11/11/53,"Off Argyll, Scotland",Military - Royal Air Force,Avro Shackleton MR-2,10,10,0,,,
12/4/53,"Near Guaderrama, Spain",Aviaco,Bristol 170 Freighter 21,23,33,0,,,
12/12/53,"Nagpur, India",Indian Airlines,Douglas DC-3,13,14,0,,,
12/15/53,"Near Cairo, Egypt",Misair,VC-Viking,6,6,NA,,,
12/15/53,"Tecpan Mt., Guatemala",Aviateca,Curtiss C-46D,2,2,0,,,
12/17/53,"Guam, Mariana Islands",Military - U.S. Air Force,Boeing B-29,11,16,8,,,
12/19/53,"Zurich, Switzerland",Sabena,Convair CV-240,1,44,0,,,
12/21/53,"Dah-el-Kadeeb, Syria",Syrian Airways,Douglas DC-3,9,15,0,,,
1/2/54,"Herat, Afghanistan",Ariana Afghan Airlines,Douglas DC-3,21,21,0,,,
1/5/54,"Lapseki, Turkey",Devlet Hava Yollari,Douglas DC-3,4,10,0,,,
1/6/54,"Near Aldbury, England",Military -Royal Air Force,Vickers Valetta,16,17,0,,,
1/10/54,"Off Elba, Italy",British Overseas Airways,de Havilland DH106 Comet 1,35,35,0,,,
1/11/54,"Manizales, Colombia",AVIANCA,Douglas DC-3,21,21,0,,,
1/13/54,"Signal Hill, California",Military - U.S. Air Force,F-88 Sabre Jet,1,1,6,,,
1/14/54,"Rome, Italy",Philippine Air Lines,Douglas DC-6,16,16,0,,,
1/14/54,"Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Douglas DC-3 (C-47A-DK),15,15,0,,,
1/20/54,"Kansas City, Missouri",Zantop Air Transport,Douglas DC-3A,3,3,0,,,
2/1/54,"Off Hokkaido, Japan",Military - U.S. Air Force,Curtiss-Wright C46D-CU,35,35,0,,,
2/5/54,"Susitna Valley, Alaska",Military - U.S. Air Force,Douglas C-47,10,16,0,,,
2/12/54,"Off Gozo, Malta",Military - Royal Air Force,Avro Shackleton MR-2,10,10,0,,,
2/25/54,"New Delhi, India",Indian Airlines,Douglas DC-3,3,3,0,,,
2/26/54,"Wright, Wyoming",Western Airlines,Convair CV-240,9,9,0,,,
3/4/54,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,Douglas C-47A-DL,20,20,0,,,
3/13/54,"Kallang Airport, Singapore",British Overseas Airways,Lockheed 749A-79-33 Constellation,33,40,0,,,
3/13/54,"Dien Bien Phu, South Vietnam",Aigle Azur,C-46,NA,NA,NA,,,
3/14/54,"Off Mackay, Australia",Queensland Airlines,Douglas C-47A,2,2,0,,,
3/19/54,"Near Lothian, Maryland",Military - U.S. Air Force,Fairchild C-110F,18,18,0,,,
3/26/54,"Monterrey, Mexico",Aeronaves de Mexico,Douglas DC-3,18,18,0,,,
4/3/54,"Kabassaak, Turkey",Devlet Hava Yollari,Douglas DC-3,25,25,0,,,
4/4/54,"Hanoi, Vietnam",Autrex,Douglas C-54A,4,4,0,,,
4/8/54,"Off Stromboli, Italy","South African Airways, leased from British Overseas Airways",de Havilland DH106 Comet 1,21,21,0,,,
4/8/54,"Moose Jaw, SK, Canada",Trans Canada Air Lines / RCAF,Canadair C-4-1Argonaut / Harvard Mark II,36,36,1,,,
4/13/54,"Batuco, Chile",LAN,Douglas DC-3,14,14,0,,,
4/13/54,"Xieng Kouang, Laos",Societe Indochinoise de Raviteillement,Lockheed 18 Lodestar,16,23,0,,,
4/23/54,"Sierra del Vilgo, Argentina",Aerolineas Argentinas,Douglas DC-3,25,25,0,,,
4/30/54,"Near Calcutta, India",Darbhanga Aviation,Douglas C-47A-30-DK,5,11,0,,,
5/22/54,"Paraparaumu, New Zealand",New Zealand National Airways,Douglas DC-3,3,28,0,,,
5/31/54,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,Douglas DC-3,19,19,0,,,
6/3/54,"Near Maribor, Slovenia",Sabena,Douglas C-47A,1,4,0,,,
6/4/54,"Sao Paulo, Brazil",Varig,Curtiss C-46A,3,3,0,,,
6/8/54,"Da Nang, Vietnam",Soc. de Tr. A????riens d'Extr????me Orient,Douglas C-47-DL,4,4,0,,,
6/19/54,"Off Folkestone, England",Swissair,Convair CV-240-4,3,9,0,,,
7/2/54,"Near Salvador, Brazil",Military - Brazilian Air Force,Lockheed C-28,24,24,0,,,
7/23/54,"Off Hainan Island, China",Cathay Pacific Airways,Douglas DC-4,10,18,0,,,
8/8/54,"Near McGrath, Alaska",Alaska Airlines,Douglas DC-2,2,2,0,,,
8/9/54,"Terceira Island, Azores, Portugal",AVIANCA,Lockheed 749A-79 Constellation,30,30,0,,,
8/12/54,Vietnam,Autrex,Douglas DC-3,3,3,0,,,
8/16/54,"Near Pakse, Laos",Air Vietnam (South Vietnam),Bristol 170 Freighter 21E,47,55,0,,,
8/22/54,"Near Mason City, Iowa",Braniff Airlines,Douglas DC-3,12,19,0,,,
8/23/54,"Off IJuuiden, North Sea",KLM Royal Dutch Airlines,Douglas DC-6B,21,21,0,,,
8/26/54,"Sakhalin Oblast, Russia",Aeroflot,Li-2,26,27,1,,,
8/27/54,"Near Rapid City, South Dekota",Military - U.S. Air Force,Convair RB-36H,26,27,0,,,
9/5/54,"Foynes, Ireland",KLM Royal Dutch Airlines,Lockheed 1049C-55-81 S Constellation,28,56,0,,,
9/12/54,"Off Rio de Janeiro, Brazil",Cruzeiro,Douglas DC-3,7,26,0,,,
9/15/54,"Cairo, Egypt",Misrair,Vickers 634 Viking,3,4,0,,,
9/27/54,"Novosibirsk, Russia",Aeroflot,Ilyushin IL-12,29,29,0,,,
10/24/54,"Near Nice, Italy",Military - U.S. Air Force,Douglas C-47A-DL,21,21,0,,,
10/28/54,"Krasnoyarsk Territory, Russia",Aeroflot,Ilyushin IL -12,16,16,0,,,
10/30/54,"Off Ocean City, Maryland",Military - U.S. Navy,Lockheed R7V-1,42,42,0,,,
10/31/54,"Mangalore, Australia",TAA,Vickers 720 Viscount,3,8,0,,,
11/16/54,"Jirishanga,Cerro de Pasco, Peru",TAM (Brazil),Douglas DC-3,24,24,0,,,
11/30/54,"Berlin, New Hampshire",Northeast Airlines,Douglas DC-3,2,7,0,,,
12/4/54,"Near Luang Pragang, Laos",Air Laos,Douglas DC-3,28,28,0,,,
12/12/54,"Bratislava, Slovakia",Ceskoslovensk???? Aerolinie,Douglas C-47A,4,4,0,,,
12/18/54,"Near Bolivar, Venezuela",Linea Aeropostal Venezolana,Douglas C-47A,2,2,0,,,
12/18/54,"New York, New York",Linee Aeree Italiane,Douglas DC-6B,26,32,0,,,
12/22/54,"Pittsburgh, Pennsylvania",Johnson Flying Service,Douglas DC-3,10,28,0,,,
12/25/54,"Prestwick, Ayrshire, Scotland",British Overseas Airways,Boeing B377-10-28 Stratocruiser,28,36,0,,,
12/29/54,"Near Moscow, Russia",Aeroflot,?,45,45,0,,,
12/31/54,"Irkutsk, Russia",Aeroflot,Ilyushin 14,17,17,0,,,
1/1/55,"Near Anchorage, Alaska",Military - US Air Force,Douglas C47,12,12,0,,,
1/11/55,"Off Skellings, Ireland",Military -Royal Air Force,Avro Shackleton M-2 / Avro Shakleton M-2,18,18,0,,,
1/12/55,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,Martin 202A / DC-3,15,15,0,,,
1/19/55,"Des Moines, Iowa",United Air Lines,Convair CV-340,0,39,0,,,
1/31/55,"Lapadrera, Colombia",Interamericana de Aviacion,Consolidated PBY-5 Catalina,5,5,0,,,
2/2/55,"Nagpur, India",Indian Airlines,Douglas DC-3,10,10,0,,,
2/5/55,"Near Calabar, Nigeria",West African Airways,Bristol 170 Freighter 21E,13,13,0,,,
2/13/55,"Abruzzio Mountains, Italy",Sabena,Douglas DC-6,29,29,0,,,
2/19/55,"Albuquerque, New Mexico",Trans World Airlines,Martin 404,16,16,0,,,
2/23/55,"Salisbury,  Zimbabwe",Central African Airways,Douglas DC-3,1,26,0,,,
2/26/55,"Formosa, Argentina",de Havilland Dove,?,7,NA,NA,,,
3/6/55,"Vitoria da Conquista, Brazil",REAL,Douglas DC-3,5,21,0,,,
3/7/55,"Near Cuidad de Valles, Mexic",Lockheed Loadstar,?,7,NA,NA,,,
3/8/55,"Mascota, Mexico",Mexicana,Douglas DC-3,26,26,0,,,
3/9/55,"Trujillo, Colombia",AVIANCA,Douglas C-47A,8,8,0,,,
3/20/55,"Springfield, Missouri",American Airlines,Convair CV-240-0,13,35,0,,,
3/22/55,"Oahu, Hawaii",Military - U.S. Navy,Douglas R6D-1 (C-118B),66,66,0,,,
3/26/55,Off the Oregon coast,Pan American World Airways,Boeing 377 Stratocruiser 10-26,4,23,0,,,
4/2/55,"Off Pensacola, Florida",Aaxico Airlines,Curtiss C-46A,2,2,0,,,
4/4/55,"Islip, New York",United Air Lines,Douglas DC-6,3,3,0,,,
4/11/55,"Off Great Natuna Island, Sarawak",Air India,Lockheed 749A Constellation,19,19,0,,,
4/18/55,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,de Havilland DH-114 Heron 1B,12,14,0,,,
5/18/55,"Mt. Kilimanjaro, Kenya",East African Airways,Douglas DC-3,20,20,0,,,
5/21/55,"Off Barcelona, Venezuela",Linea Aeropostal Venezolana,Douglas C-47-DL,4,16,0,,,
5/26/55,"Edmonton, Alberta, Canada",Associated Airways,Avro 685 York C-1,2,2,0,,,
6/3/55,"Fort Lamy, Cameroon",Union A????romaritime de Transport,Douglas C-54A,3,3,0,,,
6/16/55,"Near Asuncion, Paraguay",Panair do Brasil,Lockheed 049-46-21 Constellation,16,24,0,,,
6/18/55,"Leon, Mexico",Tigres Voladores,Curtiss C-46,18,39,0,,,
7/14/55,"Oaxaca, Mexico",Lineas Areas Unidas,Douglas DC-2-243,22,22,0,,,
7/17/55,"Chicago, Illinois",Braniff Airlines,Convair CV-340-32,22,43,0,,,
7/27/55,"Near Petrich, Bulgaria",El Al,Lockheed 049 Constellation,58,58,0,,,
8/4/55,"Fort Leonard Wood, Missouri",American Airlines,Convair CV-240-0,30,30,0,,,
8/5/55,"Near Voronezh, Russia",Aeroflot,Aeroflot,25,25,0,,,
8/11/55,"Near Edelweiler, West Germany",Military - U.S. Air Force / Military - U.S. Air Force,Fairchild C119G / Fairchild C119G,66,66,0,,,
8/26/55,"Caparao Mountain, Brazil",Cruzeiro,Douglas DC-3,13,13,0,,,
8/30/55,"Simra, Nepal",Kalinga Airlines,Douglas C-47A,2,3,0,,,
9/2/55,"Lanywa, Burma (Myanmar)",Union of Burma Airways,Douglas DC-3,9,9,0,,,
9/8/55,"Burbank, California",Currey Air Transport,Douglas DC-3,2,33,1,,,
9/10/55,"Near Banyo, Cameroon",Societe France Hydro,Latecoere 631,16,16,0,,,
9/17/55,"Near Thorhild, Alberta, Canada",Pacific Western Airlines,Bristol 170 Freighter 31,2,6,0,,,
9/21/55,"Idris, Libya",British Overseas Airways,Canadair C-4 Argonaut,15,47,0,,,
9/24/55,"Pacific Ocean (1,000 miles west of Honolulu, HI)",Flying Tiger Line,Douglas C-54A,3,5,0,,,
9/29/55,"Yellowknife, Northwest Territory, Canada",Associated Airways,Avro 685 York C-1,1,2,0,,,
10/2/55,"Pico Oiriruma-Vinac, Peru",Faucett,Douglas C54A,19,35,0,,,
10/6/55,"Near Centennial, Wyoming",United Air Lines,Douglas DC-4,66,66,0,,,
10/10/55,"Near Vienna, Austria",JAT Yugoslav Airlines,Convair CV-340-58,7,29,0,,,
11/1/55,"Longmont, Colorado",United Air Lines,Douglas DC-6B,44,44,0,,,
11/17/55,"Seattle, Washingon",Peninsular,Douglas C-54,28,74,0,,,
11/17/55,"Near Las Vegas, Nevada",Military - U.S. Air Force,Douglas MC-54M,14,14,0,,,
11/20/55,"Iwo Jima, Japan",Military - US Air Force,Douglas C124-DL Globemaster II,10,11,0,,,
11/30/55,"Near Ballico, California",Military - U.S. Air Force,Boeing RB-52B,10,10,0,,,
12/1/55,"Belem, Brazil",Cruzeiro,Douglas DC-3,6,6,0,,,
12/9/55,"Khabarovsk Territory, Russia",Aeroflot,Li-2,21,21,0,,,
12/17/55,"Hollywood, South Carolina",Riddle Airlines,Curtiss C-46A,2,2,0,,,
12/19/55,"Sao Paulo, Brazil",Cruzeiro Do Sud,Douglas DC-3,26,26,0,,,
12/21/55,"Jacksonville, Florida",Eastern Air Lines,Lockheed 749C-79-12 Constellation,17,17,0,,,
1/12/56,"Frederick Henry Bay,  Australia",Ansett ANA,Douglas C-47,1,2,0,,,
1/17/56,"Oreway, Newfoundland, Canada",Quebecair,Douglas DC-3,4,18,0,,,
1/18/56,"Torysa, Czechoslovakia",Ceskoslovenske Aerolinie,Douglas DC-3,22,26,0,,,
1/28/56,"Lyon, France",Air France,Douglas C-47,3,3,0,,,
2/13/56,"Frobisher Bay, Canada",Maritime Central Airways,Bristol 170 Freighter 31,2,2,0,,,
2/14/56,"Near Fort Chimo, Quebec, Canada",Spartan Air Services,Douglas C-47-DL,2,3,0,,,
2/17/56,"Near Niles, California",Military - U.S. Marine Corps,Douglas R5D2,40,40,0,,,
