FY,EMPL,Tax ID,PS,PC,PZ,WS,OCC,Ind,Wage
2020,,9998,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3188,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,8274,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8274,KY,Lexington,40508,,,,
2020,,2833,KY,Yosemite,42566,KY,45,11,$12.00 - $13.99
2020,,7898,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,8101,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,5268,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5206,KY,Berry,41003,KY,45,11,$12.00 - $13.99
2020,,5206,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6249,ID,Idaho Falls,83401,ID,45,11,$12.00 - $13.99
2020,,7825,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8225,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,5012,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3865,KY,Lexington,40503,KY,45,11,$12.00 - $13.99
2020,,9061,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3796,CA,Vacaville,95687,CA,45,11,$10.00 - $11.99
2020,,3796,WY,Casper,82601,CA,45,11,$12.00 - $13.99
2020,,2390,MT,Lewistown,59457,UT,45,11,$9.99 and under
2020,,3184,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,257,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1728,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7937,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1832,KY,Lexington,40503,TN,45,11,$12.00 - $13.99
2020,,3199,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6448,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5080,KY,Fulton,42041,KY,45,11,$12.00 - $13.99
2020,,6478,KY,Murray,42071,KY,45,11,$12.00 - $13.99
2020,,3531,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,5665,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,804,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1684,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,5432,KY,Yosemite,42566,KY,45,11,$12.00 - $13.99
2020,,1211,NJ,Andover,7821,NJ,45,11,$12.00 - $13.99
2020,,9490,TN,Sevierville,37862,NE,45,11,$14.00 - $15.99
2020,,739,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6960,ND,Chaseley,58423,MT,45,11,$12.00 - $13.99
2020,,850,NE,Curtis,69025,NE,45,11,$14.00 - $15.99
2020,,484,TX,Vernon,76384,TX,45,11,$12.00 - $13.99
2020,,4227,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9197,ND,Venturia,58413,ND,45,11,$14.00 - $15.99
2020,,4223,KY,Lexington,40503,KY,45,11,$12.00 - $13.99
2020,,2175,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7411,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4239,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,2536,LA,Branch,70516,LA,45,11,$10.00 - $11.99
2020,,3937,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,5680,ID,Bruneau,83604,ID,45,11,$12.00 - $13.99
2020,,9760,MT,Lewistown,59457,WY,45,11,$12.00 - $13.99
2020,,8577,ND,Chaseley,58423,ND,45,11,$14.00 - $15.99
2020,,8577,ND,Chaseley,58423,ND,45,11,$14.00 - $15.99
2020,,2744,WV,New Cumberland,26047,OH,45,71,$14.00 - $15.99
2020,,2641,NC,Mount Olive,28365,NC,45,11,$12.00 - $13.99
2020,,3538,NC,Roxboro,27574,NC,45,11,$12.00 - $13.99
2020,,2316,NC,Fairmont,28340,NC,45,11,$12.00 - $13.99
2020,,3370,GA,Douglas,31533,GA,45,11,$10.00 - $11.99
2020,,7648,NC,Smithfield,27577,NC,45,11,$12.00 - $13.99
2020,,7648,NC,Smithfield,27577,NC,45,11,$12.00 - $13.99
2020,,3066,NC,Newton Grove,28366,NC,45,11,$12.00 - $13.99
2020,,3501,KY,Lexington,40503,GA,45,11,$10.00 - $11.99
2020,,3501,KY,Lexington,40503,KY,45,11,$10.00 - $11.99
2020,,3501,KY,Lexington,40503,KY,45,11,$12.00 - $13.99
2020,,9189,FL,Lake Placid,33852,FL,45,11,$10.00 - $11.99
2020,,4418,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8167,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7291,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8887,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4669,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6226,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2750,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3297,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6519,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9575,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1262,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,8666,KY,Trenton,42286,KY,45,11,$12.00 - $13.99
2020,,9841,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7635,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,466,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,1484,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,500,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2505,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9384,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7760,KY,Lexington,40508,KY,45,11,$14.00 - $15.99
2020,,348,KY,Clifty,42216,KY,45,11,$12.00 - $13.99
2020,,8555,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4159,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6011,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6015,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4307,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7412,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7351,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6143,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8155,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9877,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,4746,KY,Melber,42069,KY,45,11,$12.00 - $13.99
2020,,6275,KY,Hazel,42049,KY,45,11,$12.00 - $13.99
2020,,6371,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9145,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,9045,KY,Lexington,40508,KY,45,11,$10.00 - $11.99
2020,,9045,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,4154,KY,Rockfield,42274,KY,45,11,$10.00 - $11.99
2020,,5731,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,3206,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5219,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,5219,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,4158,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,1819,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,4093,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,7235,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5411,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,2061,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,9426,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,9689,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,9689,TN,Cedar Hill,37032,TN,45,11,$12.00 - $13.99
2020,,7759,TN,Puryear,38251,TN,45,11,$12.00 - $13.99
2020,,7087,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5500,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,5500,KY,Lexington,40508,TN,45,11,$12.00 - $13.99
2020,,5500,TN,Woodlawn,37191,TN,45,11,$12.00 - $13.99
2020,,6023,TN,Gray,37615,TN,45,11,$12.00 - $13.99
2020,,4431,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,3945,KY,Lexington,40508,TN,45,11,$10.00 - $11.99
2020,,3105,TN,Palmersville,38241,TN,45,11,$12.00 - $13.99
2020,,6318,FL,Lake Placid,33852,FL,45,11,$10.00 - $11.99
2020,,4351,TX,Roscoe,79545,TX,45,11,$12.00 - $13.99
2020,,4351,TX,Roscoe,79545,TX,45,11,$12.00 - $13.99
2020,,3405,LA,Lake Arthur,70549,LA,45,11,$10.00 - $11.99
2020,,3733,LA,Vinton,70668,LA,45,11,$10.00 - $11.99
2020,,4375,OK,Custer City,73639,OK,45,11,$12.00 - $13.99
2020,,822,TX,Groesbeck,76642,TX,45,11,$12.00 - $13.99
2020,,5357,TX,Vernon,76384,TX,45,11,$12.00 - $13.99
2020,,9179,TX,Nazareth,79063,TX,45,11,$12.00 - $13.99
2020,,4233,ND,Chaseley,58423,ND,45,11,$14.00 - $15.99
2020,,162,IA,Iowa City,52240,IA,53,11,$14.00 - $15.99
2020,,315,MT,Lewistown,59457,CA,45,11,$12.00 - $13.99
2020,,315,MT,Lewistown,59457,CA,45,11,$12.00 - $13.99
2020,,2585,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,2291,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,6005,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,8732,KY,Mayfield,42066,KY,45,11,$12.00 - $13.99
2020,,1914,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,158,KY,Yosemite,42566,KY,45,11,$10.00 - $11.99
2020,,158,KY,Yosemite,42566,KY,45,11,$12.00 - $13.99
2020,,619,KY,Lexington,40508,KY,45,11,$12.00 - $13.99
2020,,7756,KY,Springfield,40069,KY,45,11,$12.00 - $13.99
2020,,8339,MT,Corvallis,59828,MT,45,11,$12.00 - $13.99
2020,,3715,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,9937,MT,Frenchtown,59834,MT,45,11,$12.00 - $13.99
2020,,3229,MT,Stevensville,59870,MT,45,11,$12.00 - $13.99
2020,,8592,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,2949,MT,Lewistown,59457,MT,45,11,$12.00 - $13.99
2020,,2949,MT,Lewistown,59457,MT,45,11,$9.99 and under
