Manufacturer,#_recalls
ARMSTRONG RUBBER CO.,21
AROS MANUFACTURING CO.,3
"AROUND TOWN TRANSPORTATION PRODUCTS, LLC",1
AROW Global Corp,1
"ARROW AUTOMOTIVE IND.,INC",2
"Arrow Manufacturing, Inc.",1
"ARROW TRAILERS, INC.",2
ARVINMERITOR AUTOMOTIVE,39
"ASA Electronics, LLC.",3
ASC/SAN DIEGO,1
ASHDOWN MFG. CORP.,1
ASHLEY EMERGENCY VEHICLES,1
ASPEN COACH CORPORATION,1
"ASPEN CUSTOM TRAILERS, INC.",1
ASPLUNDH MFG. DIVISION,1
Aston Martin The Americas,26
ATD OF SIOUXLAND,1
ATHEY PRODUCTS CORP.,6
ATLANTIC BUS SALES,2
"ATLAS COPCO N.A., INC",12
"ATTENTION TO DETAIL, INC.",1
Atwood Mobile Products,15
AUDIOVOX CORPORATION,1
"AUDIOVOX SPECIALIZED APPLICATIONS, LLC",1
"Augusta RV, LLC",2
"AULICK MANUFACTURING, INC.",1
"AURORA CARS, LIMITED",1
"AURORA TIRES, HYONSUNG",1
"AUSCO PRODUCTS, INC.",2
"AUSTIN ROVER CARS NA, INC",13
AUTO ACCENTS,1
"AUTO ADDITIONS, INC.",2
AUTO AIR COMPANY,1
AUTO DETAILER,1
AUTO DIRECT SAVE,1
"AUTO FX, INC.",1
"AUTO GRAPHICS, INC",1
AUTO IMAGE,1
"AUTO INTERIOR DECORATORS, INC.",1
AUTO MATE REC. PRODUCTS,1
"AUTO METER PRODUCTS, INC.",1
"AUTO OPTIONS, INC.",1
AUTO OUTFITTERS,1
"AUTO PAW TRADING, INC.",1
"Auto Pro USA, Inc.",2
AUTO RESTYLING,1
AUTO SPECIALTIES MFG. CO.,1
AUTO SUNROOF CO. INC.,1
AUTO TRIM DESIGN & GLASS,1
"AUTO TRIM DESIGN OF CENTRAL VA, INC.",1
AUTO TRIM DESIGN OF MID MARYLAND,1
AUTO TRIM DESIGN OF ND,1
AUTO TRIM DESIGN OF UTAH,1
AUTO TRIM RESTYLING,1
"Auto Truck, Inc.",1
"AUTO UPGRADE OF N.E., INC.",1
AUTO. FERRUCCIO LAMBORG.,1
"Autocar Industries, LLC",18
"Autocar, LLC",109
AUTOCRAFT RESTYLING,1
AUTOFLUG S.A.,2
"AUTOHAUS AUTOMOTIVE, INC.",1
"Autoliv, Inc.",5
Automann Inc.,1
AUTOMATIC EQUIP. MFG. CO.,7
Automobili Lamborghini America LLC,2
AUTOMOTIVE ACCESSORY CO. LTD.,1
AUTOMOTIVE CLIMATE CTRL.,1
AUTOMOTIVE CONCEPTS,1
AUTOMOTIVE ELEGANCE,1
AUTOMOTIVE IMPROVEMENTS,1
"Automotive Innovations, Inc.",1
AUTOMOTIVE SPECIALTIES LLC,1
Autosales Inc.,2
AUTOSTART,1
Autotech Accessories Inc.,1
"AUTOXTRAS, LLC",1
AUTOXTYLE,1
"AUTOZONE PARTS, INC.",1
AVANTI MOTOR CORPORATION,2
AVCO CORPORATION,2
AVIATOR VAN CONVERSIONS,1
Axalta Coating Systems,1
AXLE & EQUIP. SALES CO.,2
AXN Heavy Duty LLC,1
Azure Dynamics Corporation,1
B & M Manufacturing Company,1
"B. FOSTER & COMPANY, INC.",1
"B&W Custom Truck Beds, Inc., B&W Hitches",3
"Baby Jogger, LLC",1
"Baby Trend, Inc.",4
"BABYHOOD INDUSTRIES, INC.",4
"BAD BOY ENTERPRISES, LLC",2
Badass Helmet Company,3
BADER WOODWORKING,1
"Baker Boat Trailers, Inc.",1
BALDWIN FILTERS,3
BANGOR PUNTA CORP.,1
BANKHEAD TRANSPORTATION,1
BANNER HOMES CORPORATION,1
"Barrett Trailers, LLC",1
"BARTH, INCORPORATED",1
"BASIC COMFORT, INC.",2
"BATAVUS USA, INCORPORATED",3
Battery-Biz Inc.,1
BatteryJack Inc.,2
Bay Bridge Manufacturing LLC,1
BCI (BUS & COACH INTERNATIONAL),1
BCS INTERNATIONAL,1
Beall Corporation,2
"BEALL TRAILERS OF MONTANA, INC",1
BEALL TRANSLINER OF OREGN,1
"BEAMS INDUSTRIES, INC.",6
BEARCAT CORPORATION,1
Bearing Technologies Ltd,1
BEATRICE FOODS COMPANY,16
BEAVER CAMPER COMPANY,1
"BEAVER COACHES, INC.",2
"BECK FIRE APPARATUS, INC.",1
BEDARD TANKERS INC,1
"BEDINABOX, LLC",1
BEHLMANN GMC TRUCK CENTER,1
"Beijing Capital Tyre Co., LTD",1
"BELKIN INTERNATIONAL, INC.",1
BELL AUTOMOTIVE,1
BELL MFG. CORPORATION,2
"Bell Sports, Inc.",1
Belmont Machine Co.,1
"Bendix Commercial Vehicle Systems, LLC",24
BENDIX CORPORATION,6
"BENDIX HOME SYSTEMS, INC.",3
BENDIX SPICER FOUNDATION BRAKE LLC,1
BENEFIT AUTO SERV. CORP.,1
"BENNETT TRUCK EQUIP.,INC.",1
"BENSON INTERNATIONAL, INC.",5
"BENSON MANUFACTURING, INC.",1
"Bentley Motors, Inc.",27
"Bentley Motors, Ltd.",12
Bergstrom Inc.,1
BERLINER MOTOR CORP.,1
"BESI, Inc.",1
"Besser Pro, LLC",1
BEST DUBS CORPORATION,1
BEST TRAILER CORPORATION,1
"BESTOP, INC.",1
Beta USA,1
BETHLEHEM FABRICATORS,1
BETTER BRAKE PARTS,1
"BETTS INDUSTRIES, INC.",1
BEVERLY MFG. CORPORATION,2
BHC Investment Corp.,1
BI-MART,1
"Big Bear American Made Choppers, Inc.",1
"Big Dog Motorcycles, LLC",28
"Big Tex Trailer Manufacturing, Inc.",7
"Bigfoot Industries, Inc.",5
BILL HEARD CHEVROLET,1
Biltwell Custom Motorcycle Corp,1
