Name,Disaster,Begin Date,End Date,"Total CPI-Adjusted Cost, (Millions of Dollars)",Deaths
"Midwest Derecho and Tornado Outbreak, (December 2021)",Severe Storm,44545,44545,1960.2,1
"Western Wildfires, (2021)",Wildfire,44348,44561,11648,8
"Western Drought and Heat Wave, (2021)",Drought,44197,44561,9864.5,229
"Texas Hail Storms, (February 2022)",Severe Storm,44613,44614,1088.6,0
"Southern Tornado Outbreak, (March 2022)",Severe Storm,44650,44650,1331.4,2
"Southeast Tornado Outbreak, (April 2022)",Severe Storm,44655,44657,1501.9,3
"Southern Severe Weather, (April 2022)",Severe Storm,44662,44664,2835.5,1
"Southern and Central Severe Weather, (May 2022)",Severe Storm,44682,44684,1184.5,1
"North Central Hail Storms, (May 2022)",Severe Storm,44690,44690,2289.6,0
"North Central Severe Weather, (May 2022)",Severe Storm,44692,44693,2868.3,1
"North Central Hail Storms, (May 2022)",Severe Storm,44700,44700,2528.2,0
"Central Severe Weather, (June 2022)",Severe Storm,44719,44720,1968.5,0
"Central Derecho, (June 2022)",Severe Storm,44725,44725,3342.8,1
"North Central and Eastern Severe Weather, (July 2022)",Severe Storm,44764,44766,1380.3,1
"Kentucky and Missouri Flooding, (July 2022)",Flooding,44768,44770,1509,42
"Hurricane Fiona, (September 2022)",Tropical Cyclone,44821,44822,2585.3,25
"Hurricane Ian, (September 2022)",Tropical Cyclone,44832,44834,115154,152
"Hurricane Nicole, (November 2022)",Tropical Cyclone,44875,44876,1040.4,5
"Western Wildfires, (Spring-Fall 2022)",Wildfire,44652,44895,3203.5,17
"Central and Eastern Winter Storm and Cold Wave, (December 2022)",Winter Storm,44916,44921,8614,87
"Western/Central Drought and Heat Wave, (2022)",Drought,44562,44926,22852,136
"Northeastern Winter Storm / Cold Wave, (February 2023)",Winter Storm,44959,44962,1766.6,1
"Southern and Eastern Severe Weather, (March 2023)",Severe Storm,44987,44988,6064.2,13
,,,,,
,,,,,
"California Flooding, (December 2022 - March 2023)",Flooding,44921,45004,4590,22
"Southern and Eastern Severe Weather, (April 2023)",Severe Storm,45009,45011,1949.4,23
"Central Tornado Outbreak and Eastern Severe Weather, (March 2023)",Severe Storm,45016,45017,5420.9,33
"Central and Eastern Severe Weather, (April 2023)",Severe Storm,45020,45022,2831.2,5
"Central and Southern Severe Weather, (April 2023)",Severe Storm,45031,45031,1139.5,0
"Central Severe Weather, (April 2023)",Severe Storm,45035,45036,1908.1,1
"Southern Severe Weather, (April 2023)",Severe Storm,45041,45043,1111.1,0
"Central Severe Weather, (May 2023)",Severe Storm,45052,45054,1089,1
"Central and Eastern Tornadoes and Hail Storms, (May 2023)",Severe Storm,45056,45058,2394,1
"Texas Hail Storms, (May 2023)",Severe Storm,45064,45065,1010,0
"Southern Severe Weather, (June 2023)",Severe Storm,45088,45091,2601,0
"Central and Southern Severe Weather, (June 2023)",Severe Storm,45092,45095,2582,5
"Rockies Hail Storms and Central and Eastern Severe Weather, (June 2023)",Severe Storm,45098,45103,3292,8
