Year Type,Year,Organization Group Code,Organization Group,Department,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,2010,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",181266.58,90058.99,24917.21,296242.78,36391.45,15992.21,5024.81,57408.47,353651.25
Fiscal,2003,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",181366.36,85361.92,29480.99,296209.27,37214.56,15891.63,5047.58,58153.77,354363.04
Fiscal,2008,4,Community Health,DPH Public Health,Management,Manager VIII,296102.01,0,0,296102.01,52558.09,13765.55,21171.2,87494.84,383596.85
Fiscal,2004,6,General Administration & Finance,MYR Mayor,Administrative & Mgmt (Unrep),Mayor,295276.88,0,0,295276.88,53533.67,13175.97,20745.26,87454.9,382731.78
Fiscal,2010,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Street Transit,"Gen Mgr, Public Trnsp Dept",295130.95,0,0,295130.95,61446.19,12516.73,17080.93,91043.85,386174.8
Fiscal,2014,1,Public Protection,POL Police,Police Services,Deputy Chief 3,200440.8,0,94350.76,294791.56,44006.19,9292.28,11261.39,64559.86,359351.42
Fiscal,2005,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",179464.2,90597.44,24670.94,294732.58,43896.89,15231.67,4938.47,64067.03,358799.61
Fiscal,2003,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,66383.76,20743.71,294565.23,46366.52,15250.27,627.9,62244.69,356809.92
Fiscal,1996,1,Public Protection,SHF Sheriff,Correction & Detention,Deputy Sheriff,96329.79,173602.55,24464.93,294397.27,27731.21,12501.45,4907.72,45140.38,339537.65
Fiscal,2010,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",180166.85,80476.61,33736.67,294380.13,36620.92,15715.72,4852.64,57189.28,351569.41
Fiscal,2017,6,General Administration & Finance,CON Controller,Management,Controller,294016.51,0,0,294016.51,52187.99,13765.55,21135.42,87088.96,381105.47
Fiscal,1998,6,General Administration & Finance,RET Retirement System,Management,Dept Head V,294016.51,0,0,294016.51,52187.99,13765.55,21742.84,87696.38,381712.89
Fiscal,2003,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Street Transit,"Gen Mgr, Public Trnsp Dept",294000.18,0,0,294000.18,52067.35,11101.29,11885.88,75054.52,369054.7
