Year Type,Year,Organization Group Code,Organization Group,Department,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,2000,1,Public Protection,FIR Fire Department,Fire Services,Incident Support Specialist,126468.6,58465.77,23667.29,208601.66,25913.45,16771.8,3502.91,46188.16,254789.82
Fiscal,2001,1,Public Protection,DAT District Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.6,0,5560.63,208592.23,37817.81,13175.97,11716.53,62710.31,271302.54
Fiscal,1993,1,Public Protection,DAT District Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.59,0,5560.63,208592.22,37817.81,13175.97,11708.2,62701.98,271294.2
Fiscal,1992,1,Public Protection,DAT District Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.57,0,5560.63,208592.2,37817.82,13175.97,11640.29,62634.08,271226.28
Fiscal,1995,6,General Administration & Finance,CAT City Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.57,0,5560.63,208592.2,37817.82,13175.97,11675.41,62669.2,271261.4
Fiscal,1994,1,Public Protection,PDR Public Defender,Legal & Court,"Head Atty, Civil & Criminal",203031.57,0,5560.63,208592.2,37817.82,13175.97,11714.46,62708.25,271300.45
Fiscal,2002,6,General Administration & Finance,CAT City Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.56,0,5560.63,208592.19,37817.82,13175.97,11627.72,62621.51,271213.7
Fiscal,1994,6,General Administration & Finance,CAT City Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.55,0,5560.63,208592.18,37817.82,13175.97,11748.35,62742.14,271334.32
Fiscal,1996,6,General Administration & Finance,CAT City Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.55,0,5560.63,208592.18,37817.81,13175.97,11654.19,62647.97,271240.15
Fiscal,1994,1,Public Protection,DAT District Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.55,0,5560.63,208592.18,37817.81,13175.97,11738.31,62732.09,271324.27
Fiscal,2001,1,Public Protection,DAT District Attorney,Legal & Court,Attorney (Civil/Criminal),203031.55,0,5560.63,208592.18,37817.81,13175.97,11646.99,62640.77,271232.95
Fiscal,1993,1,Public Protection,DAT District Attorney,Legal & Court,Attorney (Civil/Criminal),203031.54,0,5560.63,208592.17,37817.82,13175.97,11557.96,62551.75,271143.92
Fiscal,1999,1,Public Protection,DAT District Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.54,0,5560.63,208592.17,37817.81,13175.97,11665.21,62658.99,271251.16
Fiscal,2000,6,General Administration & Finance,CAT City Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.53,0,5560.63,208592.16,37817.81,13175.97,11674.65,62668.43,271260.59
Fiscal,1996,1,Public Protection,DAT District Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.53,0,5560.63,208592.16,37817.82,13175.97,11635.62,62629.41,271221.57
Fiscal,1992,1,Public Protection,PDR Public Defender,Legal & Court,"Head Atty, Civil & Criminal",203031.53,0,5560.63,208592.16,37817.81,13175.97,11704.13,62697.91,271290.07
Fiscal,1998,1,Public Protection,PDR Public Defender,Legal & Court,"Head Atty, Civil & Criminal",203031.52,0,5560.63,208592.15,37817.81,13175.97,11515.38,62509.16,271101.31
Fiscal,2002,6,General Administration & Finance,CAT City Attorney,Legal & Court,"Head Atty, Civil & Criminal",203031.52,0,5560.63,208592.15,37817.81,13175.97,11603.3,62597.08,271189.23
Fiscal,2004,1,Public Protection,PDR Public Defender,Legal & Court,"Head Atty, Civil & Criminal",203031.51,0,5560.63,208592.14,37817.81,13175.97,11766.44,62760.22,271352.36
Fiscal,2006,1,Public Protection,POL Police,Police Services,Police Officer 3,125272.39,57932.42,25353.52,208558.33,21764.08,13765.54,3502.16,39031.78,247590.11
Fiscal,2008,4,Community Health,DPH Public Health,Nursing,Clinical Nurse Specialist,206731.53,1573.2,250,208554.73,36694.97,13765.55,11699.85,62160.37,270715.1
Fiscal,2015,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",154050.43,24070.38,30433.09,208553.9,31722.95,16771.81,3502.1,51996.86,260550.76
Fiscal,2012,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,130229.89,62671.84,15639.83,208541.56,31384.71,15231.67,3491.84,50108.22,258649.78
Fiscal,1997,4,Community Health,DPH Public Health,Nursing,Nursing Supervisor,181084.2,0,27454.39,208538.59,37808.08,12421.62,11279.41,61509.11,270047.7
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",132387.45,59989.17,16142.14,208518.76,24768.35,13804.59,3577.32,42150.26,250669.02
Fiscal,2017,1,Public Protection,POL Police,Police Services,Inspector 3,145907.77,23879.6,38723.54,208510.91,25829.42,13765.53,3492.14,43087.09,251598
Fiscal,2012,4,Community Health,DPH Public Health,Nursing,Nurse Manager,192543.3,0,15963.06,208506.36,34176.44,13765.55,9976.61,57918.6,266424.96
Fiscal,2005,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",151020.48,45920.67,11556.33,208497.48,28694.75,15992.21,3517.19,48204.15,256701.63
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,112703.73,77097.19,18677.58,208478.5,25707.91,15250.26,3374.99,44333.16,252811.66
Fiscal,1992,4,Community Health,DPH Public Health,Nursing,Nurse Manager,189511.2,0,18951.12,208462.32,45736.61,12476.25,11390.31,69603.17,278065.49
Fiscal,2010,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Street Transit,"Deputy Dir I, MTA",208460.77,0,0,208460.77,37001.71,13765.53,19274.54,70041.78,278502.55
Fiscal,2012,4,Community Health,DPH Public Health,Nursing,Nurse Manager,175877.83,0,32580.93,208458.76,34318.55,13765.55,11720.81,59804.91,268263.67
Fiscal,1993,4,Community Health,DPH Public Health,"Lab, Pharmacy & Med Techs",Diagnostic Imaging Tech III,117015.33,26780.71,64645.8,208441.84,24918.96,12462.77,11067.7,48449.43,256891.27
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",149531.77,49336.71,9570.5,208438.98,32329.53,15250.26,3314.27,50894.06,259333.04
Fiscal,2004,6,General Administration & Finance,CAT City Attorney,Legal & Court,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",208424.32,0,0,208424.32,37787.39,11667.28,33157.76,82612.43,291036.75
Fiscal,1993,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Management,Engineer/Architect Principal,208418,0,0,208418,45726.82,12501.45,11668.28,69896.55,278314.55
Fiscal,1994,1,Public Protection,POL Police,Police Services,Sergeant 3,148352.15,44178.13,15870.83,208401.11,30915.47,12522.71,3412.3,46850.48,255251.59
Fiscal,2009,1,Public Protection,SHF Sheriff,Correction & Detention,Deputy Sheriff,100682.54,86951.56,20749.05,208383.15,30576.5,13175.97,3563.61,47316.08,255699.23
Fiscal,2002,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,130444.95,61631.38,16305.62,208381.95,25989.52,15715.72,3380.18,45085.42,253467.37
Fiscal,1994,4,Community Health,DPH Public Health,Nursing,Nurse Manager,189421.3,0,18942.13,208363.43,45714.92,12470.21,11833.44,70018.57,278382
Fiscal,2012,1,Public Protection,POL Police,Police Services,Captain 3,199160.02,0,9184.76,208344.78,43431.82,12453.57,3463.25,59348.64,267693.42
Fiscal,2008,1,Public Protection,POL Police,Police Services,Police Officer 3,118840.92,32428.44,57064.06,208333.42,25461.1,12462.77,356.41,38280.28,246613.7
Fiscal,2006,1,Public Protection,POL Police,Police Services,Police Officer 3,119469.84,77437.38,11413.36,208320.58,25815.1,12513.43,3462.85,41791.38,250111.96
Fiscal,2016,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,107661.38,82887.88,17763.74,208313,21450.18,14987.84,3508.27,39946.29,248259.29
Fiscal,1998,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Supervisory-Labor & Trade,Transit Power Line Sprv1,114186.7,85601.42,8513.51,208301.63,22245.58,13175.97,13304.99,48726.54,257028.17
Fiscal,2017,4,Community Health,DPH Public Health,Management,Manager VIII,208293.17,0,0,208293.17,45699.56,12501.45,19905.73,78106.74,286399.91
Fiscal,1993,4,Community Health,DPH Public Health,Management,Manager VIII,208292.88,0,0,208292.88,45699.53,12501.45,22325.98,80526.96,288819.84
Fiscal,2000,1,Public Protection,SHF Sheriff,Correction & Detention,Deputy Sheriff,104621,76252.87,27412.78,208286.65,34499.12,13712.79,3459.11,51671.02,259957.67
Fiscal,2005,1,Public Protection,POL Police,Police Services,Police Officer 3,122486.14,47814.78,37981.71,208282.63,21282.56,13712.8,3474.94,38470.3,246752.93
Fiscal,2001,4,Community Health,DPH Public Health,Nursing,Nursing Supervisor,179608.56,0,28658.68,208267.24,45446.81,12525.4,10489.76,68461.97,276729.21
Fiscal,2013,2,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,Professional Engineering,Assoc Engineer,208259.11,0,0,208259.11,36966.1,13712.74,11515.5,62194.34,270453.45
Fiscal,1996,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,122984.71,70194.72,15066.64,208246.07,23827.67,15304.34,3551.4,42683.41,250929.48
Fiscal,1995,1,Public Protection,POL Police,Police Services,Lieutenant 3,172954.13,592,34692.73,208238.86,39518.03,12393.69,519.87,52431.59,260670.45
Fiscal,2000,6,General Administration & Finance,DT GSA - Technology,Management,Dep Dir III,208225.58,0,0,208225.58,36959.99,13765.55,27386.3,78111.84,286337.42
Fiscal,2006,1,Public Protection,POL Police,Police Services,Sergeant 3,142825.5,48237.76,17156.09,208219.35,24793.93,13778.72,3418.64,41991.29,250210.64
Fiscal,2004,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,112889.82,74615.44,20694.71,208199.97,22608.66,15715.72,3392.79,41717.17,249917.14
Fiscal,1997,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,134173.76,57248.06,16771.77,208193.59,26053.2,16771.81,3512.66,46337.67,254531.26
Fiscal,1997,2,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,Management,Manager VI,208183.28,0,0,208183.28,36952.48,13765.54,20532.24,71250.26,279433.54
Fiscal,1993,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,112703.75,76502.12,18974.1,208179.97,24541.32,15250.26,3559.43,43351.01,251530.98
Fiscal,2010,1,Public Protection,SHF Sheriff,Correction & Detention,Senior Deputy Sheriff,111593.54,82934.27,13635.59,208163.4,31532.69,13175.97,3523.71,48232.37,256395.77
Fiscal,1992,1,Public Protection,FIR Fire Department,Fire Services,"Insp, Fire Dept",135118.5,64180.01,8863.41,208161.92,29116.64,12528.71,3359.15,45004.5,253166.42
Fiscal,2000,1,Public Protection,POL Police,Police Services,Police Officer 2,118659.84,56148.98,33352.69,208161.51,21089.42,13175.96,3530.88,37796.26,245957.77
Fiscal,1997,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",130499.34,48428.38,29232.2,208159.92,27830.98,15598.54,3432.83,46862.35,255022.27
Fiscal,2000,1,Public Protection,POL Police,Police Services,Lieutenant 3,169597.05,22404.25,16157.3,208158.6,32206.82,12828.16,437.77,45472.75,253631.35
Fiscal,1998,1,Public Protection,POL Police,Police Services,Captain 3,181542,0,26600.31,208142.31,41456.75,11351.9,484.48,53293.13,261435.44
Fiscal,1994,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,116099.5,64079.38,27956.88,208135.76,23057.86,16771.81,3494.92,43324.59,251460.35
Fiscal,2016,1,Public Protection,POL Police,Police Services,Sergeant 3,142142.07,55148.39,10842.45,208132.91,24675.3,13712.8,3552.46,41940.56,250073.47
Fiscal,1997,1,Public Protection,POL Police,Police Services,Sergeant 2,138048.4,38022.14,32049.24,208119.78,24511.47,13188.55,3514,41214.02,249333.8
Fiscal,2007,4,Community Health,DPH Public Health,Nursing,Special Nurse,105745.73,76791.87,25580.94,208118.54,0,7802.45,3565.52,11367.97,219486.51
Fiscal,1997,1,Public Protection,POL Police,Police Services,Sergeant 2,140032.18,37120.42,30943.59,208096.19,24986.94,13125.68,3493.21,41605.83,249702.02
Fiscal,2014,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Management,Engineer/Architect Principal,208095.32,0,0,208095.32,36936.98,13765.55,11566.28,62268.81,270364.13
Fiscal,1997,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Management,Engineer/Architect Principal,208095.3,0,0,208095.3,36936.98,13765.55,11577.26,62279.79,270375.09
Fiscal,2009,4,Community Health,DPH Public Health,Medical & Dental,Supervising Physician Spec,200612.8,0,7465,208077.8,35758.75,12828.16,11250.61,59837.52,267915.32
Fiscal,1993,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,112703.74,76673.82,18686.43,208063.99,25707.92,15250.26,3377.67,44335.85,252399.84
Fiscal,2007,4,Community Health,DPH Public Health,Nursing,Registered Nurse,153376.49,13108.72,41573.39,208058.6,31905.24,13219.08,10180.54,55304.86,263363.46
Fiscal,1999,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,122033.5,78700.73,7321.94,208056.17,23581.57,16771.81,3421.99,43775.37,251831.54
Fiscal,2006,2,"Public Works, Transportation & Commerce",DPW GSA - Public Works,Management,Dep Dir IV,208052.28,0,0,208052.28,45646.68,12501.46,24732.31,82880.45,290932.73
Fiscal,2008,2,"Public Works, Transportation & Commerce",DPW GSA - Public Works,Management,Dep Dir IV,208052.26,0,0,208052.26,45646.68,12501.47,19039.66,77187.81,285240.07
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,121753.25,71379.16,14894.14,208026.55,24118.32,14584.09,3511.97,42214.38,250240.93
Fiscal,2000,1,Public Protection,POL Police,Police Services,Police Officer 3,121426.17,80612.55,5980.31,208019.03,21098.41,13594.13,3546.26,38238.8,246257.83
Fiscal,1997,1,Public Protection,POL Police,Police Services,Sergeant 3,138579.14,47825.23,21609.13,208013.5,28326.66,12522.72,3427.33,44276.71,252290.21
Fiscal,2002,4,Community Health,DPH Public Health,Nursing,Nurse Manager,181744.76,0,26268.01,208012.77,44664.25,12394.73,1323.84,58382.82,266395.59
Fiscal,2005,1,Public Protection,POL Police,Police Services,Police Officer 2,118965,58968.28,30076.99,208010.27,20673.64,13580.94,3511.01,37765.59,245775.86
Fiscal,1992,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",148121.11,41360.45,18515.15,207996.71,35834.63,15087.97,3482.59,54405.19,262401.9
Fiscal,2002,4,Community Health,DPH Public Health,Nursing,Nursing Supervisor,189081.25,0,18908.13,207989.38,45632.93,12452.36,11785.63,69870.92,277860.3
Fiscal,2017,4,Community Health,DPH Public Health,Nursing,Nurse Practitioner,180506.66,7350.95,20116.97,207974.58,44339.82,12238.02,11174.92,67752.76,275727.34
Fiscal,2010,1,Public Protection,POL Police,Police Services,Sergeant 3,137650.55,48294.48,22023.28,207968.31,24522.02,12797.33,3374.99,40694.34,248662.65
Fiscal,2001,1,Public Protection,POL Police,Police Services,Sergeant 2,136098.35,51541.93,20307.34,207947.62,27822.57,12522.73,3402.49,43747.79,251695.41
Fiscal,2000,3,Human Welfare & Neighborhood Development,HSA Human Services Agency,Management,Dep Dir IV,207944.55,0,0,207944.55,37700.39,13175.97,26900.44,77776.8,285721.35
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",130961.04,61244.42,15727.83,207933.29,29741.89,15250.26,3443.84,48435.99,256369.28
Fiscal,2006,1,Public Protection,POL Police,Police Services,Sergeant 3,129758.16,0,78169.15,207927.31,23573.1,11779.7,336.74,35689.54,243616.85
Fiscal,2005,4,Community Health,DPH Public Health,Medical & Dental,Senior Physician Specialist,174090.66,0,33823.59,207914.25,35536.26,10864.76,12279.47,58680.49,266594.74
Fiscal,2002,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",148367.98,49070.6,10471.46,207910.04,28130.39,15567.7,3372.02,47070.11,254980.15
Fiscal,2013,1,Public Protection,POL Police,Police Services,Captain 3,199160.08,0,8747.27,207907.35,35972.55,12828.16,449.93,49250.64,257157.99
Fiscal,2010,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,112889.82,75865.56,19143.83,207899.21,22491.87,15715.71,3463.17,41670.75,249569.96
Fiscal,2008,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",130961.01,67270.31,9663.65,207894.97,28434.34,15250.26,3435.14,47119.74,255014.71
Fiscal,2014,1,Public Protection,POL Police,Management,Dept Head I,207892.05,0,0,207892.05,36900.81,13765.55,19343.36,70009.72,277901.77
Fiscal,1999,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,130444.96,63067.01,14376.1,207888.07,25647.81,15715.72,3424.89,44788.42,252676.49
Fiscal,2013,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,116099.52,68578.12,23199.12,207876.76,23232.54,16771.81,3638.34,43642.69,251519.45
Fiscal,2015,1,Public Protection,POL Police,Police Services,Sergeant 3,143723.55,41530,22615.78,207869.33,31015.87,12471.52,3416.78,46904.17,254773.5
Fiscal,2000,1,Public Protection,DAT District Attorney,Legal & Court,"Head Atty, Civil & Criminal",167146.21,0,40710.61,207856.82,30359.75,11545.34,11815.04,53720.13,261576.95
Fiscal,2012,1,Public Protection,POL Police,Police Services,Sergeant 3,137053.36,49330.25,21470.73,207854.34,28014.78,12384.84,3355.76,43755.38,251609.72
Fiscal,2007,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,112703.73,73587.42,21557.06,207848.21,26199.31,15250.25,3370.98,44820.54,252668.75
Fiscal,2010,1,Public Protection,FIR Fire Department,Fire Services,Marine Engineer Of Fire Boats,148591.33,37695.07,21545.68,207832.08,34478.59,15154.35,438.71,50071.65,257903.73
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",152445.19,26868.33,28518.38,207831.9,31817.05,16143.08,3517.9,51478.03,259309.93
Fiscal,1995,6,General Administration & Finance,CON Controller,Management,Dep Dir V,207823.25,0,0,207823.25,43268.81,12516.72,15158.2,70943.73,278766.98
Fiscal,2015,1,Public Protection,SHF Sheriff,Correction & Detention,Sheriff's Captain,160421.22,22668.26,24717.71,207807.19,43864.82,13175.98,3308.07,60348.87,268156.06
Fiscal,2002,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",181281.46,8384.27,18128.15,207793.88,35195.86,13138.25,3517.18,51851.29,259645.17
Fiscal,1999,1,Public Protection,POL Police,Police Services,Police Officer 3,127895.94,74148.99,5748.05,207792.98,22216.32,13712.8,3484.25,39413.37,247206.35
Fiscal,1998,4,Community Health,DPH Public Health,Nursing,Nurse Manager,190752.7,0,17037.62,207790.32,34583.5,13175.97,11681.05,59440.52,267230.84
Fiscal,2004,4,Community Health,DPH Public Health,Nursing,Nurse Manager,175315.22,0,32474.04,207789.26,34208.7,13765.55,11621.71,59595.96,267385.22
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",151020.46,22246.31,34513.29,207780.06,32746.71,15992.21,3744.06,52482.98,260263.04
Fiscal,2016,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,131178.43,61445.04,15129.96,207753.43,25823.48,15948.78,3503.62,45275.88,253029.31
Fiscal,2016,4,Community Health,DPH Public Health,Medical & Dental,Supervising Physician Spec,123135.98,0,84601.57,207737.55,22324.56,6493.69,7159.05,35977.3,243714.85
Fiscal,2003,2,"Public Works, Transportation & Commerce",DPW GSA - Public Works,Management,Manager VII,207728.76,0,0,207728.76,36871.82,13765.55,27663.23,78300.6,286029.36
Fiscal,1993,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",129725.55,61086.73,16907.53,207719.81,31379.83,15087.97,3452.62,49920.42,257640.23
Fiscal,2015,1,Public Protection,POL Police,Police Services,Captain 3,197819.55,574.5,9321.31,207715.36,42626.8,12369.75,3477.82,58474.37,266189.73
Fiscal,2005,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",130961.01,57240.91,19512.39,207714.31,30510.87,15250.26,3426.98,49188.11,256902.42
Fiscal,1998,1,Public Protection,FIR Fire Department,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",173992.5,16463.52,17249.4,207705.42,33008.41,13778.73,3545.16,50332.3,258037.72
Fiscal,1994,4,Community Health,DPH Public Health,"Lab, Pharmacy & Med Techs",Diagnostic Imaging Tech IV,128565.51,43955.01,35178.27,207698.79,23629.52,13169.68,12543.48,49342.68,257041.47
Fiscal,2004,1,Public Protection,POL Police,Police Services,Sergeant 3,142757.19,40331.55,24609.34,207698.08,24782.07,13772.14,3439.32,41993.53,249691.61
Fiscal,1996,4,Community Health,DPH Public Health,Management,Manager VI,207696.02,0,0,207696.02,37655.34,13175.97,27216.48,78047.79,285743.81
Fiscal,2005,4,Community Health,DPH Public Health,Nursing,Nurse Practitioner,180439.51,12322.86,14929.88,207692.25,34152.34,12497.06,12535.22,59184.62,266876.87
Fiscal,1999,6,General Administration & Finance,CAT City Attorney,Legal & Court,Chief Atty1 (Civil & Criminal),206752,0,937,207689,36781.74,12828.16,11091.25,60701.15,268390.15
Fiscal,1993,6,General Administration & Finance,CAT City Attorney,Legal & Court,Chief Atty1 (Civil & Criminal),206752,0,937,207689,36781.74,12828.16,11141.59,60751.49,268440.49
Fiscal,1998,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",179464.25,13866.12,14356.96,207687.33,41594.03,15231.67,3432.46,60258.16,267945.49
Fiscal,2017,1,Public Protection,POL Police,Police Services,Sergeant 3,139221.9,50557.33,17886.58,207665.81,28457.54,12546.69,3413.21,44417.44,252083.25
Fiscal,1996,4,Community Health,DPH Public Health,Medical & Dental,Senior Physician Specialist,207664.93,0,0,207664.93,36860.51,11405.36,13025.42,61291.29,268956.22
Fiscal,2016,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",134276.2,60603.39,12771.93,207651.52,25380.55,16693.62,3616.41,45690.58,253342.1
Fiscal,2009,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",181266.57,0,26379.2,207645.77,36526.5,15992.21,560.01,53078.72,260724.49
Fiscal,2002,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",132267.09,49494.2,25883.6,207644.89,27790.63,15992.21,3501.38,47284.22,254929.11
Fiscal,2004,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,111640.48,76507.34,19491.03,207638.85,27230.3,15087.97,3524.92,45843.19,253482.04
Fiscal,1993,6,General Administration & Finance,TTX Treasurer/Tax Collector,Management,Dep Dir IV,207613.9,0,0,207613.9,43225.18,12516.72,15263.54,71005.44,278619.34
Fiscal,2011,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,113827.04,74823.42,18953.28,207603.74,22601.83,15992.21,3501.84,42095.88,249699.62
Fiscal,1997,1,Public Protection,POL Police,Police Services,Captain 3,202709.45,0,4892.63,207602.08,36639.65,13175.97,3420.74,53236.36,260838.44
Fiscal,2005,1,Public Protection,POL Police,Police Services,Captain 3,202709.4,0,4880.54,207589.94,36639.65,13175.97,3500.69,53316.31,260906.25
Fiscal,2015,4,Community Health,DPH Public Health,Nursing,Nurse Practitioner,206822.46,457.33,250,207529.79,36710.98,13765.55,11493.48,61970.01,269499.8
Fiscal,2007,1,Public Protection,POL Police,Police Services,Inspector 3,138805.61,48825.2,19891.68,207522.49,28936.76,12522.71,3418.62,44878.09,252400.58
Fiscal,2002,1,Public Protection,DEM Emergency Management,Protection & Apprehension,Public Safetycomm Supv,105468.3,88426.83,13613.08,207508.21,20904.48,12978.44,11144.46,45027.38,252535.59
Fiscal,1992,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,116576.06,69339.3,21569.27,207484.63,23299.45,16771.81,3541.39,43612.65,251097.28
Fiscal,2015,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",134905.13,56361.09,16201.37,207467.59,26080.99,16771.81,2686.42,45539.22,253006.81
Fiscal,1994,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,112703.72,75170.45,19585.47,207459.64,25691.12,15250.26,3422.57,44363.95,251823.59
Fiscal,2008,1,Public Protection,POL Police,Police Services,Captain 3,200692.01,0,6762.08,207454.09,40948.32,12564.68,3351.69,56864.69,264318.78
Fiscal,2001,4,Community Health,DPH Public Health,Medical & Dental,Supervising Physician Spec,197580.52,0,9870,207450.52,35177.44,12534.96,11066.07,58778.47,266228.99
Fiscal,1994,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Emergency Med Svcs",150942.44,38305.92,18183.62,207431.98,34281.77,15394.13,449.4,50125.3,257557.28
Fiscal,2006,2,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,Supervisory-Labor & Trade,Electrical Trnst Shop Sprv 1,117184.7,81933.65,8309.59,207427.94,24397.84,12516.72,11353.4,48267.96,255695.9
Fiscal,2012,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",179032.25,17185.5,11200.7,207418.45,33571.22,12828.16,3355.03,49754.41,257172.86
Fiscal,1994,1,Public Protection,POL Police,Police Services,Inspector 3,116488.84,4347.99,86579.83,207416.66,22030.75,10829.93,290.15,33150.83,240567.49
Fiscal,2012,1,Public Protection,POL Police,Police Services,Sergeant 3,137716.83,48140.85,21557.33,207415.01,24534.68,12803.48,3376.06,40714.22,248129.23
Fiscal,2014,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",153322.11,41118.26,12954.76,207395.13,28580.5,13712.8,3498.96,45792.26,253187.39
Fiscal,1999,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,113013.87,76182.51,18180.91,207377.29,22467.28,15518.36,3445.48,41431.12,248808.41
Fiscal,2008,1,Public Protection,FIR Fire Department,Fire Services,"Lieutenant, Fire Suppression",137663.65,48887.58,20825.25,207376.48,27236.31,16086.17,3481.9,46804.38,254180.86
Fiscal,1996,2,"Public Works, Transportation & Commerce",WTR Water Enterprise,Management,Engineer/Architect Principal,193505.47,0,13863.47,207368.94,34347.34,13765.55,11508.53,59621.42,266990.36
Fiscal,1996,4,Community Health,DPH Public Health,Nursing,Registered Nurse,132374.13,25696.59,49295.66,207366.38,28850.49,12758.77,3089.38,44698.64,252065.02
Fiscal,2007,1,Public Protection,SHF Sheriff,Correction & Detention,Sheriff's Captain,160421.26,18797.84,28135.16,207354.26,43864.83,13175.97,3492.06,60532.86,267887.12
Fiscal,2016,1,Public Protection,DAT District Attorney,Management,Manager VIII,207331.58,0,0,207331.58,43166.41,12516.72,15257.87,70941,278272.58
Fiscal,2009,1,Public Protection,POL Police,Police Services,"Sergeant, (Police Department)",131512.5,54353.74,21460.31,207326.55,28964.77,12573.3,3445.95,44984.02,252310.57
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,Firefighter,114639.13,68919.11,23761.64,207319.88,23027.8,16560.84,3497.67,43086.31,250406.19
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,EMT/Paramedic/Firefighter,123639.84,75636.94,8036.58,207313.36,23240.98,16143.08,3509.36,42893.42,250206.78
Fiscal,2006,1,Public Protection,POL Police,Police Services,Sergeant 3,140897.03,58444.98,7953.76,207295.77,25030.01,13219.98,3548.82,41798.81,249094.58
Fiscal,2008,1,Public Protection,POL Police,Police Services,Lieutenant 3,195740.66,468.38,11079.4,207288.44,34810.69,13778.73,3534.22,52123.64,259412.08
