ISIN,Security Description,Indicate Value Of Aggregate Holding Of FPIS (INR Cr),source_file,date
IN0020240019,07.10 GS 2034,1071.65,CCIL 05-17-2024.xls,2024-05-17
IN0020200070,05.79 GS 2030,2518.85,CCIL 05-17-2024.xls,2024-05-17
IN0020230135,07.32 GS 2030,1544.87,CCIL 05-17-2024.xls,2024-05-17
IN0020200278,05.15 GS 2025,2331.14,CCIL 05-17-2024.xls,2024-05-17
IN0020200252,06.67 GS 2050,2658.339,CCIL 05-17-2024.xls,2024-05-17
IN0020220029,07.54 GS 2036,2179.935,CCIL 05-17-2024.xls,2024-05-17
IN0020220102,07.41 GS 2036,2089.403,CCIL 05-17-2024.xls,2024-05-17
IN0020220086,07.36 GS 2052,2057.553,CCIL 05-17-2024.xls,2024-05-17
IN0020200294,05.85 GS 2030,1412.79,CCIL 05-17-2024.xls,2024-05-17
IN0020230150,07.24 GOI SGRB 2033,44.0,CCIL 05-17-2024.xls,2024-05-17
IN0020220136,07.10 GOI SGRB 2028,53.241,CCIL 05-17-2024.xls,2024-05-17
IN0020210194,06.99 GS 2051,967.633,CCIL 05-17-2024.xls,2024-05-17
IN0020200054,07.16 GS 2050,583.715,CCIL 05-17-2024.xls,2024-05-17
IN0020190032,07.72 GS 2049,137.05,CCIL 05-17-2024.xls,2024-05-17
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 05-17-2024.xls,2024-05-17
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 05-17-2024.xls,2024-05-17
IN0020230085,07.18 GS 2033,24057.219,CCIL 05-24-2024.xls,2024-05-24
IN0020230010,07.06 GS 2028,10015.852,CCIL 05-24-2024.xls,2024-05-24
IN0020230101,07.37 GS 2028,6737.258,CCIL 05-24-2024.xls,2024-05-24
IN0020210012,05.63 GS 2026,11096.89,CCIL 05-24-2024.xls,2024-05-24
IN0020220037,07.38 GS 2027,10075.143,CCIL 05-24-2024.xls,2024-05-24
IN0020200112,05.22 GS 2025,7871.874,CCIL 05-24-2024.xls,2024-05-24
IN0020210186,05.74 GS 2026,4159.108,CCIL 05-24-2024.xls,2024-05-24
IN0020230077,07.18 GS 2037,9244.806,CCIL 05-24-2024.xls,2024-05-24
IN0020220060,07.26 GS 2032,7927.461,CCIL 05-24-2024.xls,2024-05-24
IN0020180454,07.26 GS 2029,6571.579,CCIL 05-24-2024.xls,2024-05-24
IN0020220011,07.10 GS 2029,7398.492,CCIL 05-24-2024.xls,2024-05-24
IN0020220151,07.26 GS 2033,6674.812,CCIL 05-24-2024.xls,2024-05-24
IN0020210244,06.54 GS 2032,6317.932,CCIL 05-24-2024.xls,2024-05-24
IN0020210095,06.10 GS 2031,5975.439,CCIL 05-24-2024.xls,2024-05-24
IN0020230051,07.30 GS 2053,6316.475,CCIL 05-24-2024.xls,2024-05-24
IN0020230036,07.17 GS 2030,3571.8,CCIL 05-24-2024.xls,2024-05-24
IN0020190362,06.45 GS 2029,3885.517,CCIL 05-24-2024.xls,2024-05-24
IN0020220144,07.29 GOI SGRB 2033,266.634,CCIL 05-24-2024.xls,2024-05-24
IN0020190396,06.18 GS 2024,2462.319,CCIL 05-24-2024.xls,2024-05-24
IN0020200153,05.77 GS 2030,3405.14,CCIL 05-24-2024.xls,2024-05-24
IN0020230135,07.32 GS 2030,1871.87,CCIL 05-24-2024.xls,2024-05-24
IN0020200070,05.79 GS 2030,2513.85,CCIL 05-24-2024.xls,2024-05-24
IN0020200278,05.15 GS 2025,2336.94,CCIL 05-24-2024.xls,2024-05-24
IN0020240019,07.10 GS 2034,1123.93,CCIL 05-24-2024.xls,2024-05-24
IN0020200252,06.67 GS 2050,2654.339,CCIL 05-24-2024.xls,2024-05-24
IN0020220029,07.54 GS 2036,2187.235,CCIL 05-24-2024.xls,2024-05-24
IN0020220102,07.41 GS 2036,2085.903,CCIL 05-24-2024.xls,2024-05-24
IN0020220086,07.36 GS 2052,2065.453,CCIL 05-24-2024.xls,2024-05-24
IN0020200294,05.85 GS 2030,1381.79,CCIL 05-24-2024.xls,2024-05-24
IN0020230150,07.24 GOI SGRB 2033,44.0,CCIL 05-24-2024.xls,2024-05-24
IN0020210194,06.99 GS 2051,1042.633,CCIL 05-24-2024.xls,2024-05-24
IN0020220136,07.10 GOI SGRB 2028,53.241,CCIL 05-24-2024.xls,2024-05-24
IN0020200054,07.16 GS 2050,593.715,CCIL 05-24-2024.xls,2024-05-24
IN0020190032,07.72 GS 2049,158.788,CCIL 05-24-2024.xls,2024-05-24
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 05-24-2024.xls,2024-05-24
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 05-24-2024.xls,2024-05-24
IN0020230085,07.18 GS 2033,24300.23,CCIL 06-07-2024.xls,2024-06-07
IN0020230010,07.06 GS 2028,10216.772,CCIL 06-07-2024.xls,2024-06-07
IN0020230101,07.37 GS 2028,6651.458,CCIL 06-07-2024.xls,2024-06-07
IN0020210186,05.74 GS 2026,5382.132,CCIL 06-07-2024.xls,2024-06-07
IN0020210012,05.63 GS 2026,12288.542,CCIL 06-07-2024.xls,2024-06-07
IN0020230077,07.18 GS 2037,12581.131,CCIL 06-07-2024.xls,2024-06-07
IN0020220037,07.38 GS 2027,9665.653,CCIL 06-07-2024.xls,2024-06-07
IN0020200112,05.22 GS 2025,7678.056,CCIL 06-07-2024.xls,2024-06-07
IN0020220060,07.26 GS 2032,7869.514,CCIL 06-07-2024.xls,2024-06-07
IN0020180454,07.26 GS 2029,6561.373,CCIL 06-07-2024.xls,2024-06-07
IN0020220011,07.10 GS 2029,7789.332,CCIL 06-07-2024.xls,2024-06-07
IN0020210244,06.54 GS 2032,7091.251,CCIL 06-07-2024.xls,2024-06-07
IN0020220151,07.26 GS 2033,6605.892,CCIL 06-07-2024.xls,2024-06-07
IN0020230135,07.32 GS 2030,2957.87,CCIL 06-07-2024.xls,2024-06-07
IN0020230051,07.30 GS 2053,7075.603,CCIL 06-07-2024.xls,2024-06-07
IN0020210095,06.10 GS 2031,5975.439,CCIL 06-07-2024.xls,2024-06-07
IN0020230036,07.17 GS 2030,3592.0,CCIL 06-07-2024.xls,2024-06-07
IN0020190362,06.45 GS 2029,3885.517,CCIL 06-07-2024.xls,2024-06-07
IN0020220144,07.29 GOI SGRB 2033,266.634,CCIL 06-07-2024.xls,2024-06-07
IN0020190396,06.18 GS 2024,2461.939,CCIL 06-07-2024.xls,2024-06-07
IN0020200153,05.77 GS 2030,3411.058,CCIL 06-07-2024.xls,2024-06-07
IN0020240019,07.10 GS 2034,1932.362,CCIL 06-07-2024.xls,2024-06-07
IN0020200070,05.79 GS 2030,2534.48,CCIL 06-07-2024.xls,2024-06-07
IN0020200278,05.15 GS 2025,2376.386,CCIL 06-07-2024.xls,2024-06-07
IN0020220086,07.36 GS 2052,2984.119,CCIL 06-07-2024.xls,2024-06-07
IN0020200252,06.67 GS 2050,2732.639,CCIL 06-07-2024.xls,2024-06-07
IN0020220029,07.54 GS 2036,2560.005,CCIL 06-07-2024.xls,2024-06-07
IN0020220102,07.41 GS 2036,2115.683,CCIL 06-07-2024.xls,2024-06-07
IN0020200294,05.85 GS 2030,1481.79,CCIL 06-07-2024.xls,2024-06-07
IN0020230150,07.24 GOI SGRB 2033,44.0,CCIL 06-07-2024.xls,2024-06-07
IN0020210194,06.99 GS 2051,1047.633,CCIL 06-07-2024.xls,2024-06-07
IN0020220136,07.10 GOI SGRB 2028,52.639,CCIL 06-07-2024.xls,2024-06-07
IN0020200054,07.16 GS 2050,670.195,CCIL 06-07-2024.xls,2024-06-07
IN0020190032,07.72 GS 2049,523.788,CCIL 06-07-2024.xls,2024-06-07
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 06-07-2024.xls,2024-06-07
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 06-07-2024.xls,2024-06-07
IN0020240050,07.04 GS 2029,0.0,CCIL 06-07-2024.xls,2024-06-07
IN0020230101,07.37 GS 2028,12059.388,CCIL 03-22-2024.xls,2024-03-22
IN0020230135,07.32 GS 2030,6074.66,CCIL 03-22-2024.xls,2024-03-22
IN0020210186,05.74 GS 2026,7093.338,CCIL 03-22-2024.xls,2024-03-22
IN0020220037,07.38 GS 2027,15466.984,CCIL 03-22-2024.xls,2024-03-22
IN0020230010,07.06 GS 2028,9853.449,CCIL 03-22-2024.xls,2024-03-22
IN0020230085,07.18 GS 2033,17720.115,CCIL 03-22-2024.xls,2024-03-22
IN0020210012,05.63 GS 2026,10690.66,CCIL 03-22-2024.xls,2024-03-22
IN0020220060,07.26 GS 2032,8076.823,CCIL 03-22-2024.xls,2024-03-22
IN0020220011,07.10 GS 2029,8551.203,CCIL 03-22-2024.xls,2024-03-22
IN0020220151,07.26 GS 2033,7880.452,CCIL 03-22-2024.xls,2024-03-22
IN0020230036,07.17 GS 2030,5207.97,CCIL 03-22-2024.xls,2024-03-22
IN0020180454,07.26 GS 2029,6521.487,CCIL 03-22-2024.xls,2024-03-22
IN0020200112,05.22 GS 2025,5770.665,CCIL 03-22-2024.xls,2024-03-22
IN0020210244,06.54 GS 2032,7257.936,CCIL 03-22-2024.xls,2024-03-22
IN0020230077,07.18 GS 2037,7549.497,CCIL 03-22-2024.xls,2024-03-22
IN0020210095,06.10 GS 2031,5875.852,CCIL 03-22-2024.xls,2024-03-22
IN0020190362,06.45 GS 2029,4102.167,CCIL 03-22-2024.xls,2024-03-22
IN0020220144,07.29 GOI SGRB 2033,259.484,CCIL 03-22-2024.xls,2024-03-22
IN0020200153,05.77 GS 2030,3626.855,CCIL 03-22-2024.xls,2024-03-22
IN0020190396,06.18 GS 2024,2315.561,CCIL 03-22-2024.xls,2024-03-22
IN0020230051,07.30 GS 2053,4240.837,CCIL 03-22-2024.xls,2024-03-22
IN0020200070,05.79 GS 2030,2568.35,CCIL 03-22-2024.xls,2024-03-22
IN0020200278,05.15 GS 2025,2182.34,CCIL 03-22-2024.xls,2024-03-22
IN0020200252,06.67 GS 2050,2647.569,CCIL 03-22-2024.xls,2024-03-22
IN0020220029,07.54 GS 2036,2326.355,CCIL 03-22-2024.xls,2024-03-22
IN0020220102,07.41 GS 2036,2026.603,CCIL 03-22-2024.xls,2024-03-22
IN0020220086,07.36 GS 2052,1920.749,CCIL 03-22-2024.xls,2024-03-22
IN0020200294,05.85 GS 2030,1342.29,CCIL 03-22-2024.xls,2024-03-22
IN0020210194,06.99 GS 2051,1009.456,CCIL 03-22-2024.xls,2024-03-22
IN0020230150,07.24 GOI SGRB 2033,25.5,CCIL 03-22-2024.xls,2024-03-22
IN0020220136,07.10 GOI SGRB 2028,35.217,CCIL 03-22-2024.xls,2024-03-22
IN0020200054,07.16 GS 2050,431.874,CCIL 03-22-2024.xls,2024-03-22
IN0020190032,07.72 GS 2049,124.05,CCIL 03-22-2024.xls,2024-03-22
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 03-22-2024.xls,2024-03-22
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 03-22-2024.xls,2024-03-22
IN0020230101,07.37 GS 2028,13165.295,CCIL 03-15-2024.xls,2024-03-15
IN0020230135,07.32 GS 2030,7217.16,CCIL 03-15-2024.xls,2024-03-15
IN0020210186,05.74 GS 2026,6715.838,CCIL 03-15-2024.xls,2024-03-15
IN0020230010,07.06 GS 2028,11639.449,CCIL 03-15-2024.xls,2024-03-15
IN0020220037,07.38 GS 2027,13728.784,CCIL 03-15-2024.xls,2024-03-15
IN0020230085,07.18 GS 2033,19033.25,CCIL 03-15-2024.xls,2024-03-15
IN0020210012,05.63 GS 2026,10749.96,CCIL 03-15-2024.xls,2024-03-15
IN0020230036,07.17 GS 2030,5654.97,CCIL 03-15-2024.xls,2024-03-15
IN0020200112,05.22 GS 2025,6468.365,CCIL 03-15-2024.xls,2024-03-15
IN0020220060,07.26 GS 2032,8046.823,CCIL 03-15-2024.xls,2024-03-15
IN0020220011,07.10 GS 2029,8551.203,CCIL 03-15-2024.xls,2024-03-15
IN0020220151,07.26 GS 2033,7828.452,CCIL 03-15-2024.xls,2024-03-15
IN0020180454,07.26 GS 2029,6530.945,CCIL 03-15-2024.xls,2024-03-15
IN0020210244,06.54 GS 2032,7457.936,CCIL 03-15-2024.xls,2024-03-15
IN0020230077,07.18 GS 2037,6856.627,CCIL 03-15-2024.xls,2024-03-15
IN0020210095,06.10 GS 2031,5881.182,CCIL 03-15-2024.xls,2024-03-15
IN0020190362,06.45 GS 2029,4114.567,CCIL 03-15-2024.xls,2024-03-15
IN0020220144,07.29 GOI SGRB 2033,262.214,CCIL 03-15-2024.xls,2024-03-15
IN0020190396,06.18 GS 2024,2462.561,CCIL 03-15-2024.xls,2024-03-15
IN0020200153,05.77 GS 2030,3656.855,CCIL 03-15-2024.xls,2024-03-15
IN0020230051,07.30 GS 2053,3786.437,CCIL 03-15-2024.xls,2024-03-15
IN0020200070,05.79 GS 2030,2628.35,CCIL 03-15-2024.xls,2024-03-15
IN0020200278,05.15 GS 2025,2190.34,CCIL 03-15-2024.xls,2024-03-15
IN0020200252,06.67 GS 2050,2647.569,CCIL 03-15-2024.xls,2024-03-15
IN0020220029,07.54 GS 2036,2326.355,CCIL 03-15-2024.xls,2024-03-15
IN0020220102,07.41 GS 2036,2014.603,CCIL 03-15-2024.xls,2024-03-15
IN0020220086,07.36 GS 2052,1871.508,CCIL 03-15-2024.xls,2024-03-15
IN0020200294,05.85 GS 2030,1342.29,CCIL 03-15-2024.xls,2024-03-15
IN0020210194,06.99 GS 2051,984.456,CCIL 03-15-2024.xls,2024-03-15
IN0020230150,07.24 GOI SGRB 2033,25.5,CCIL 03-15-2024.xls,2024-03-15
IN0020220136,07.10 GOI SGRB 2028,35.217,CCIL 03-15-2024.xls,2024-03-15
IN0020200054,07.16 GS 2050,431.874,CCIL 03-15-2024.xls,2024-03-15
IN0020190032,07.72 GS 2049,124.05,CCIL 03-15-2024.xls,2024-03-15
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 03-15-2024.xls,2024-03-15
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 03-15-2024.xls,2024-03-15
IN0020230101,07.37 GS 2028,11146.626,CCIL 03-29-2024.xls,2024-03-29
IN0020230135,07.32 GS 2030,5667.36,CCIL 03-29-2024.xls,2024-03-29
IN0020210186,05.74 GS 2026,7460.308,CCIL 03-29-2024.xls,2024-03-29
IN0020220037,07.38 GS 2027,15961.984,CCIL 03-29-2024.xls,2024-03-29
IN0020230010,07.06 GS 2028,9883.449,CCIL 03-29-2024.xls,2024-03-29
IN0020230085,07.18 GS 2033,17811.225,CCIL 03-29-2024.xls,2024-03-29
IN0020210012,05.63 GS 2026,10658.16,CCIL 03-29-2024.xls,2024-03-29
IN0020220060,07.26 GS 2032,8081.823,CCIL 03-29-2024.xls,2024-03-29
IN0020220011,07.10 GS 2029,8557.933,CCIL 03-29-2024.xls,2024-03-29
IN0020220151,07.26 GS 2033,7877.092,CCIL 03-29-2024.xls,2024-03-29
IN0020200112,05.22 GS 2025,6183.665,CCIL 03-29-2024.xls,2024-03-29
IN0020230036,07.17 GS 2030,5357.97,CCIL 03-29-2024.xls,2024-03-29
IN0020180454,07.26 GS 2029,6526.487,CCIL 03-29-2024.xls,2024-03-29
IN0020230077,07.18 GS 2037,7951.693,CCIL 03-29-2024.xls,2024-03-29
IN0020210244,06.54 GS 2032,7174.436,CCIL 03-29-2024.xls,2024-03-29
IN0020210095,06.10 GS 2031,5910.352,CCIL 03-29-2024.xls,2024-03-29
IN0020190362,06.45 GS 2029,4100.017,CCIL 03-29-2024.xls,2024-03-29
IN0020220144,07.29 GOI SGRB 2033,269.484,CCIL 03-29-2024.xls,2024-03-29
IN0020190396,06.18 GS 2024,2462.561,CCIL 03-29-2024.xls,2024-03-29
IN0020200153,05.77 GS 2030,3603.888,CCIL 03-29-2024.xls,2024-03-29
IN0020230051,07.30 GS 2053,4282.518,CCIL 03-29-2024.xls,2024-03-29
IN0020200070,05.79 GS 2030,2568.35,CCIL 03-29-2024.xls,2024-03-29
IN0020200278,05.15 GS 2025,2189.84,CCIL 03-29-2024.xls,2024-03-29
IN0020200252,06.67 GS 2050,2660.329,CCIL 03-29-2024.xls,2024-03-29
IN0020220029,07.54 GS 2036,2373.335,CCIL 03-29-2024.xls,2024-03-29
IN0020220102,07.41 GS 2036,2084.603,CCIL 03-29-2024.xls,2024-03-29
IN0020220086,07.36 GS 2052,1995.749,CCIL 03-29-2024.xls,2024-03-29
IN0020200294,05.85 GS 2030,1342.29,CCIL 03-29-2024.xls,2024-03-29
IN0020210194,06.99 GS 2051,1009.456,CCIL 03-29-2024.xls,2024-03-29
IN0020230150,07.24 GOI SGRB 2033,25.5,CCIL 03-29-2024.xls,2024-03-29
IN0020200054,07.16 GS 2050,481.874,CCIL 03-29-2024.xls,2024-03-29
IN0020220136,07.10 GOI SGRB 2028,35.217,CCIL 03-29-2024.xls,2024-03-29
IN0020190032,07.72 GS 2049,130.05,CCIL 03-29-2024.xls,2024-03-29
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 03-29-2024.xls,2024-03-29
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 03-29-2024.xls,2024-03-29
IN0020230085,07.18 GS 2033,23764.691,CCIL 06-21-2024.xls,2024-06-21
IN0020230101,07.37 GS 2028,8060.858,CCIL 06-21-2024.xls,2024-06-21
IN0020230010,07.06 GS 2028,11422.341,CCIL 06-21-2024.xls,2024-06-21
IN0020210186,05.74 GS 2026,5735.732,CCIL 06-21-2024.xls,2024-06-21
IN0020210012,05.63 GS 2026,12255.342,CCIL 06-21-2024.xls,2024-06-21
IN0020220037,07.38 GS 2027,9348.443,CCIL 06-21-2024.xls,2024-06-21
IN0020230077,07.18 GS 2037,11307.99,CCIL 06-21-2024.xls,2024-06-21
IN0020200112,05.22 GS 2025,7597.306,CCIL 06-21-2024.xls,2024-06-21
IN0020220011,07.10 GS 2029,8606.702,CCIL 06-21-2024.xls,2024-06-21
IN0020220060,07.26 GS 2032,7842.135,CCIL 06-21-2024.xls,2024-06-21
IN0020180454,07.26 GS 2029,6588.099,CCIL 06-21-2024.xls,2024-06-21
IN0020240076,07.02 GS 2031,538.309,CCIL 06-21-2024.xls,2024-06-21
IN0020230135,07.32 GS 2030,3224.67,CCIL 06-21-2024.xls,2024-06-21
IN0020210244,06.54 GS 2032,7065.165,CCIL 06-21-2024.xls,2024-06-21
IN0020220151,07.26 GS 2033,6449.821,CCIL 06-21-2024.xls,2024-06-21
IN0020240019,07.10 GS 2034,3376.902,CCIL 06-21-2024.xls,2024-06-21
IN0020230051,07.30 GS 2053,7027.717,CCIL 06-21-2024.xls,2024-06-21
IN0020210095,06.10 GS 2031,5665.949,CCIL 06-21-2024.xls,2024-06-21
IN0020230036,07.17 GS 2030,3628.3,CCIL 06-21-2024.xls,2024-06-21
IN0020190362,06.45 GS 2029,3920.017,CCIL 06-21-2024.xls,2024-06-21
IN0020220144,07.29 GOI SGRB 2033,266.634,CCIL 06-21-2024.xls,2024-06-21
IN0020190396,06.18 GS 2024,2458.939,CCIL 06-21-2024.xls,2024-06-21
IN0020240050,07.04 GS 2029,380.0,CCIL 06-21-2024.xls,2024-06-21
IN0020200153,05.77 GS 2030,3463.758,CCIL 06-21-2024.xls,2024-06-21
IN0020220029,07.54 GS 2036,3823.705,CCIL 06-21-2024.xls,2024-06-21
IN0020200070,05.79 GS 2030,2585.08,CCIL 06-21-2024.xls,2024-06-21
IN0020220102,07.41 GS 2036,3420.083,CCIL 06-21-2024.xls,2024-06-21
IN0020200278,05.15 GS 2025,2403.986,CCIL 06-21-2024.xls,2024-06-21
IN0020200252,06.67 GS 2050,2823.479,CCIL 06-21-2024.xls,2024-06-21
IN0020220086,07.36 GS 2052,2520.019,CCIL 06-21-2024.xls,2024-06-21
IN0020200294,05.85 GS 2030,1726.19,CCIL 06-21-2024.xls,2024-06-21
IN0020230150,07.24 GOI SGRB 2033,44.0,CCIL 06-21-2024.xls,2024-06-21
IN0020210194,06.99 GS 2051,1100.533,CCIL 06-21-2024.xls,2024-06-21
IN0020190032,07.72 GS 2049,585.588,CCIL 06-21-2024.xls,2024-06-21
IN0020220136,07.10 GOI SGRB 2028,52.639,CCIL 06-21-2024.xls,2024-06-21
IN0020200054,07.16 GS 2050,672.395,CCIL 06-21-2024.xls,2024-06-21
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 06-21-2024.xls,2024-06-21
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 06-21-2024.xls,2024-06-21
IN0020230101,07.37 GS 2028,11342.503,CCIL 02-23-2024.xls,2024-02-23
IN0020230135,07.32 GS 2030,7633.34,CCIL 02-23-2024.xls,2024-02-23
IN0020230010,07.06 GS 2028,12215.539,CCIL 02-23-2024.xls,2024-02-23
IN0020230085,07.18 GS 2033,16425.734,CCIL 02-23-2024.xls,2024-02-23
IN0020200112,05.22 GS 2025,8252.559,CCIL 02-23-2024.xls,2024-02-23
IN0020220037,07.38 GS 2027,9842.904,CCIL 02-23-2024.xls,2024-02-23
IN0020210012,05.63 GS 2026,10241.86,CCIL 02-23-2024.xls,2024-02-23
IN0020210186,05.74 GS 2026,4058.158,CCIL 02-23-2024.xls,2024-02-23
IN0020220011,07.10 GS 2029,8766.847,CCIL 02-23-2024.xls,2024-02-23
IN0020220060,07.26 GS 2032,7945.323,CCIL 02-23-2024.xls,2024-02-23
IN0020230036,07.17 GS 2030,5520.3,CCIL 02-23-2024.xls,2024-02-23
IN0020220151,07.26 GS 2033,7824.394,CCIL 02-23-2024.xls,2024-02-23
IN0020180454,07.26 GS 2029,5863.299,CCIL 02-23-2024.xls,2024-02-23
IN0020210244,06.54 GS 2032,6717.436,CCIL 02-23-2024.xls,2024-02-23
IN0020210095,06.10 GS 2031,5879.182,CCIL 02-23-2024.xls,2024-02-23
IN0020190396,06.18 GS 2024,3138.561,CCIL 02-23-2024.xls,2024-02-23
IN0020190362,06.45 GS 2029,4132.317,CCIL 02-23-2024.xls,2024-02-23
IN0020220144,07.29 GOI SGRB 2033,249.034,CCIL 02-23-2024.xls,2024-02-23
IN0020230077,07.18 GS 2037,5178.889,CCIL 02-23-2024.xls,2024-02-23
IN0020200153,05.77 GS 2030,3655.765,CCIL 02-23-2024.xls,2024-02-23
IN0020200070,05.79 GS 2030,2620.85,CCIL 02-23-2024.xls,2024-02-23
IN0020200278,05.15 GS 2025,2364.79,CCIL 02-23-2024.xls,2024-02-23
IN0020230051,07.30 GS 2053,3005.914,CCIL 02-23-2024.xls,2024-02-23
IN0020200252,06.67 GS 2050,2666.209,CCIL 02-23-2024.xls,2024-02-23
IN0020220029,07.54 GS 2036,2325.355,CCIL 02-23-2024.xls,2024-02-23
IN0020220102,07.41 GS 2036,2006.583,CCIL 02-23-2024.xls,2024-02-23
IN0020220086,07.36 GS 2052,2017.508,CCIL 02-23-2024.xls,2024-02-23
IN0020200294,05.85 GS 2030,1346.79,CCIL 02-23-2024.xls,2024-02-23
IN0020210194,06.99 GS 2051,994.956,CCIL 02-23-2024.xls,2024-02-23
IN0020230150,07.24 GOI SGRB 2033,25.5,CCIL 02-23-2024.xls,2024-02-23
IN0020200054,07.16 GS 2050,442.374,CCIL 02-23-2024.xls,2024-02-23
IN0020220136,07.10 GOI SGRB 2028,33.127,CCIL 02-23-2024.xls,2024-02-23
IN0020190032,07.72 GS 2049,132.55,CCIL 02-23-2024.xls,2024-02-23
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 02-23-2024.xls,2024-02-23
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 02-23-2024.xls,2024-02-23
IN0020230085,07.18 GS 2033,23965.737,CCIL 05-31-2024.xls,2024-05-31
IN0020230010,07.06 GS 2028,10016.872,CCIL 05-31-2024.xls,2024-05-31
IN0020230101,07.37 GS 2028,6638.958,CCIL 05-31-2024.xls,2024-05-31
IN0020210186,05.74 GS 2026,5319.888,CCIL 05-31-2024.xls,2024-05-31
IN0020210012,05.63 GS 2026,11790.542,CCIL 05-31-2024.xls,2024-05-31
IN0020220037,07.38 GS 2027,9887.843,CCIL 05-31-2024.xls,2024-05-31
IN0020200112,05.22 GS 2025,7777.166,CCIL 05-31-2024.xls,2024-05-31
IN0020230077,07.18 GS 2037,10078.031,CCIL 05-31-2024.xls,2024-05-31
IN0020220060,07.26 GS 2032,7909.965,CCIL 05-31-2024.xls,2024-05-31
IN0020180454,07.26 GS 2029,6561.373,CCIL 05-31-2024.xls,2024-05-31
IN0020220011,07.10 GS 2029,7759.112,CCIL 05-31-2024.xls,2024-05-31
IN0020220151,07.26 GS 2033,6732.312,CCIL 05-31-2024.xls,2024-05-31
IN0020210244,06.54 GS 2032,6330.948,CCIL 05-31-2024.xls,2024-05-31
IN0020210095,06.10 GS 2031,5975.439,CCIL 05-31-2024.xls,2024-05-31
IN0020230135,07.32 GS 2030,2786.17,CCIL 05-31-2024.xls,2024-05-31
IN0020230051,07.30 GS 2053,6302.228,CCIL 05-31-2024.xls,2024-05-31
IN0020230036,07.17 GS 2030,3591.9,CCIL 05-31-2024.xls,2024-05-31
IN0020190362,06.45 GS 2029,3885.517,CCIL 05-31-2024.xls,2024-05-31
IN0020220144,07.29 GOI SGRB 2033,266.634,CCIL 05-31-2024.xls,2024-05-31
IN0020190396,06.18 GS 2024,2462.319,CCIL 05-31-2024.xls,2024-05-31
IN0020200153,05.77 GS 2030,3411.058,CCIL 05-31-2024.xls,2024-05-31
IN0020240019,07.10 GS 2034,1527.22,CCIL 05-31-2024.xls,2024-05-31
IN0020200070,05.79 GS 2030,2529.05,CCIL 05-31-2024.xls,2024-05-31
IN0020200278,05.15 GS 2025,2366.386,CCIL 05-31-2024.xls,2024-05-31
IN0020220086,07.36 GS 2052,2970.203,CCIL 05-31-2024.xls,2024-05-31
IN0020200252,06.67 GS 2050,2662.639,CCIL 05-31-2024.xls,2024-05-31
IN0020220029,07.54 GS 2036,2187.235,CCIL 05-31-2024.xls,2024-05-31
IN0020220102,07.41 GS 2036,2054.883,CCIL 05-31-2024.xls,2024-05-31
IN0020200294,05.85 GS 2030,1481.79,CCIL 05-31-2024.xls,2024-05-31
IN0020230150,07.24 GOI SGRB 2033,44.0,CCIL 05-31-2024.xls,2024-05-31
IN0020210194,06.99 GS 2051,1047.633,CCIL 05-31-2024.xls,2024-05-31
IN0020220136,07.10 GOI SGRB 2028,52.639,CCIL 05-31-2024.xls,2024-05-31
IN0020200054,07.16 GS 2050,644.265,CCIL 05-31-2024.xls,2024-05-31
IN0020190032,07.72 GS 2049,158.788,CCIL 05-31-2024.xls,2024-05-31
IN0020230143,07.25 GOI SGRB 2028,0.0,CCIL 05-31-2024.xls,2024-05-31
IN0020230176,07.37 GOI SGRB 2054,0.0,CCIL 05-31-2024.xls,2024-05-31
IN0020240050,07.04 GS 2029,0.0,CCIL 05-31-2024.xls,2024-05-31
IN0020230085,07.18 GS 2033,23817.146,CCIL 06-14-2024.xls,2024-06-14
IN0020230010,07.06 GS 2028,11048.372,CCIL 06-14-2024.xls,2024-06-14
IN0020230101,07.37 GS 2028,7043.458,CCIL 06-14-2024.xls,2024-06-14
IN0020210186,05.74 GS 2026,5408.632,CCIL 06-14-2024.xls,2024-06-14
IN0020210012,05.63 GS 2026,12288.042,CCIL 06-14-2024.xls,2024-06-14
IN0020230077,07.18 GS 2037,12707.275,CCIL 06-14-2024.xls,2024-06-14
IN0020220037,07.38 GS 2027,9281.453,CCIL 06-14-2024.xls,2024-06-14
IN0020200112,05.22 GS 2025,7602.956,CCIL 06-14-2024.xls,2024-06-14
IN0020220060,07.26 GS 2032,7869.52,CCIL 06-14-2024.xls,2024-06-14
