Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,
Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
North Central and Eastern Severe Weather (July 2022),Severe Storm,20220722,20220724,1380.3,1
Kentucky and Missouri Flooding (July 2022),Flooding,20220726,20220728,1509,42
Hurricane Fiona (September 2022),Tropical Cyclone,20220917,20220918,2585.3,25
Hurricane Ian (September 2022),Tropical Cyclone,20220928,20220930,115154,152
Hurricane Nicole (November 2022),Tropical Cyclone,20221110,20221111,1040.4,5
Western Wildfires (Spring-Fall 2022),Wildfire,20220401,20221130,3203.5,17
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,20221221,20221226,8614,87
Western/Central Drought and Heat Wave (2022),Drought,20220101,20221231,22852,136
Northeastern Winter Storm / Cold Wave (February 2023),Winter Storm,20230202,20230205,1766.6,1
Southern and Eastern Severe Weather (March 2023),Severe Storm,20230302,20230303,6064.2,13
California Flooding (December 2022 - March 2023),Flooding,20221226,20230319,4590,22
Southern and Eastern Severe Weather (April 2023),Severe Storm,20230324,20230326,1949.4,23
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,20230331,20230401,5420.9,33
Central and Eastern Severe Weather (April 2023),Severe Storm,20230404,20230406,2831.2,5
Central and Southern Severe Weather (April 2023),Severe Storm,20230415,20230415,1139.5,0
Central Severe Weather (April 2023),Severe Storm,20230419,20230420,1908.1,1
Southern Severe Weather (April 2023),Severe Storm,20230425,20230427,1111.1,0
Central Severe Weather (May 2023),Severe Storm,20230506,20230508,1089,1
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,20230510,20230512,2394,1
Texas Hail Storms (May 2023),Severe Storm,20230518,20230519,1010,0
Southern Severe Weather (June 2023),Severe Storm,20230611,20230614,2601,0
Central and Southern Severe Weather (June 2023),Severe Storm,20230615,20230618,2582,5
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,20230621,20230626,3292,8
