school_ID,School,State,School Type,subsidized_count,subsidized_amt,unsubsidized_count,unsubsidized_amt,academic_yr,academic_q
110300,PHILANDER SMITH COLLEGE,AR,Private-Nonprofit,61,73839,74,111787,2014_2015,4
110500,SHORTER COLLEGE,AR,Private-Nonprofit,154,132809,140,164692,2014_2015,4
110600,WILLIAMS BAPTIST COLLEGE,AR,Private-Nonprofit,1,600,4,4146,2014_2015,4
110700,SOUTHERN ARKANSAS UNIVERSITY,AR,Public,311,328759,307,377393,2014_2015,4
110800,UNIVERSITY OF ARKANSAS,AR,Public,473,974225,425,977189,2014_2015,4
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,Public,246,362337,234,396241,2014_2015,4
111000,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,Public,277,257325,341,335710,2014_2015,4
111100,ALLAN HANCOCK COLLEGE,CA,Public,149,224094,130,197839,2014_2015,4
111300,ANTELOPE VALLEY COLLEGE,CA,Public,1894,2113354,386,445058,2014_2015,4
111600,ART CENTER COLLEGE OF DESIGN,CA,Private-Nonprofit,569,1269445,543,1244213,2014_2015,4
111700,AZUSA PACIFIC UNIVERSITY,CA,Private-Nonprofit,1828,4168265,1963,6043273,2014_2015,4
111800,BAKERSFIELD COLLEGE,CA,Public,153,148143,132,138704,2014_2015,4
112000,AMERICAN BAPTIST SEMINARY OF THE WEST,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
112200,BIOLA UNIVERSITY,CA,Private-Nonprofit,36,68179,27,49513,2014_2015,4
112300,BROOKS INSTITUTE,CA,Proprietary,330,551243,280,522907,2014_2015,4
112400,CABRILLO COLLEGE,CA,Public,57,102626,44,69354,2014_2015,4
112500,CALIFORNIA BAPTIST UNIVERSITY,CA,Private-Nonprofit,1810,4231627,1859,4789667,2014_2015,4
112700,CALIFORNIA COLLEGE OF THE ARTS,CA,Private-Nonprofit,143,340665,134,344208,2014_2015,4
113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,Private-Nonprofit,19,9911,51,96306,2014_2015,4
113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,Private-Nonprofit,0,0,2,5298,2014_2015,4
113300,CALIFORNIA LUTHERAN UNIVERSITY,CA,Private-Nonprofit,171,388972,168,411800,2014_2015,4
113400,CALIFORNIA MARITIME ACADEMY,CA,Public,88,157891,73,109649,2014_2015,4
113700,"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,Public,951,1723311,669,1197657,2014_2015,4
113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",CA,Public,6270,9029384,5340,8201853,2014_2015,4
113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,Public,610,1157711,522,967096,2014_2015,4
114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,Public,2069,2981587,1257,2237605,2014_2015,4
114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,Public,459,828291,358,610972,2014_2015,4
114200,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,Public,1885,3336428,1107,2045665,2014_2015,4
114300,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,Public,388,620783,397,575892,2014_2015,4
114400,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,Public,689,1420612,554,1026998,2014_2015,4
114600,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,Public,417,556192,558,864382,2014_2015,4
114700,"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,Public,354,671927,245,420189,2014_2015,4
114900,HUMBOLDT STATE UNIVERSITY,CA,Public,192,286409,182,281410,2014_2015,4
115000,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,Public,371,825780,367,910524,2014_2015,4
115100,SAN DIEGO STATE UNIVERSITY,CA,Public,1074,1765284,820,1381353,2014_2015,4
115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,Public,592,984534,352,660763,2014_2015,4
115400,SAN FRANCISCO STATE UNIVERSITY,CA,Public,582,1374656,545,1463374,2014_2015,4
115500,SAN JOSE STATE UNIVERSITY,CA,Public,671,1312109,456,864815,2014_2015,4
115600,SONOMA STATE UNIVERSITY,CA,Public,75,151683,60,90452,2014_2015,4
115700,"CALIFORNIA STATE UNIVERSITY, STANISLAUS",CA,Public,197,348985,159,288780,2014_2015,4
116100,CERRITOS COMMUNITY COLLEGE,CA,Public,92,175292,20,40350,2014_2015,4
116200,CHABOT COLLEGE,CA,Public,48,63320,33,32981,2014_2015,4
116400,CHAPMAN UNIVERSITY,CA,Private-Nonprofit,77,172185,55,112607,2014_2015,4
116500,CHURCH DIVINITY SCHOOL OF THE PACIFIC,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
116600,CITRUS COMMUNITY COLLEGE,CA,Public,80,88421,59,84465,2014_2015,4
116900,CLAREMONT GRADUATE UNIVERSITY,CA,Private-Nonprofit,0,0,1,10250,2014_2015,4
117000,CLAREMONT MCKENNA COLLEGE,CA,Private-Nonprofit,3,4293,3,16100,2014_2015,4
117100,HARVEY MUDD COLLEGE,CA,Private-Nonprofit,0,0,2,12000,2014_2015,4
117200,PITZER COLLEGE,CA,Private-Nonprofit,19,29694,7,8940,2014_2015,4
117300,POMONA COLLEGE,CA,Private-Nonprofit,52,88359,133,339048,2014_2015,4
117400,SCRIPPS COLLEGE,CA,Private-Nonprofit,5,11550,0,0,2014_2015,4
117600,WEST HILLS COMMUNITY COLLEGE,CA,Public,41,67285,33,50602,2014_2015,4
117700,COGSWELL POLYTECHNICAL COLLEGE,CA,Proprietary,286,574984,299,584270,2014_2015,4
117800,COLLEGE OF MARIN,CA,Public,10,10500,7,14550,2014_2015,4
117900,NOTRE DAME DE NAMUR UNIVERSITY,CA,Private-Nonprofit,143,368777,146,512470,2014_2015,4
118100,COLLEGE OF SAN MATEO,CA,Public,22,32873,16,23607,2014_2015,4
118300,HOLY NAMES UNIVERSITY,CA,Private-Nonprofit,158,374470,169,558938,2014_2015,4
118500,COLLEGE OF THE REDWOODS,CA,Public,45,69172,25,30569,2014_2015,4
118600,COLLEGE OF THE SEQUOIAS,CA,Public,102,117250,9,9829,2014_2015,4
118700,COLLEGE OF THE SISKIYOUS,CA,Public,21,35473,26,36143,2014_2015,4
119000,CONTRA COSTA COLLEGE,CA,Public,105,155240,87,127903,2014_2015,4
119100,DIABLO VALLEY COLLEGE,CA,Public,58,111610,49,91151,2014_2015,4
119200,CUESTA COLLEGE,CA,Public,57,75560,69,109868,2014_2015,4
119300,CYPRESS COLLEGE,CA,Public,82,116047,48,105364,2014_2015,4
119600,DOMINICAN UNIVERSITY OF CALIFORNIA,CA,Private-Nonprofit,28,72758,30,95194,2014_2015,4
119900,FOOTHILL COLLEGE,CA,Public,671,885598,535,899331,2014_2015,4
120000,FULLER THEOLOGICAL SEMINARY,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
120100,FULLERTON COLLEGE,CA,Public,109,110178,82,79324,2014_2015,4
120200,GAVILAN COLLEGE,CA,Public,2,1000,0,0,2014_2015,4
120300,GLENDALE COMMUNITY COLLEGE,CA,Public,224,448546,106,165939,2014_2015,4
120500,GOLDEN GATE UNIVERSITY,CA,Private-Nonprofit,223,543673,218,756707,2014_2015,4
120600,GOLDEN WEST COLLEGE,CA,Public,118,188679,76,135112,2014_2015,4
120700,GRADUATE THEOLOGICAL UNION,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
120800,GROSSMONT COLLEGE,CA,Public,96,114960,17,21248,2014_2015,4
121200,HUMPHREYS UNIVERSITY,CA,Private-Nonprofit,1008,717191,1006,981099,2014_2015,4
121500,LA SIERRA UNIVERSITY,CA,Private-Nonprofit,1440,2042700,1398,1936249,2014_2015,4
121600,UNIVERSITY OF LA VERNE,CA,Private-Nonprofit,397,1023769,348,1105279,2014_2015,4
121700,LASSEN COLLEGE,CA,Public,4,3500,0,0,2014_2015,4
121800,LOMA LINDA UNIVERSITY,CA,Private-Nonprofit,595,819891,628,1030422,2014_2015,4
121900,LONG BEACH CITY COLLEGE,CA,Public,289,431839,55,86069,2014_2015,4
122000,MASTER'S UNIVERSITY AND SEMINARY (THE),CA,Private-Nonprofit,25,57022,20,41988,2014_2015,4
122300,LOS ANGELES CITY COLLEGE,CA,Public,622,1147973,579,996601,2014_2015,4
122400,LOS ANGELES HARBOR COLLEGE,CA,Public,53,59400,14,14650,2014_2015,4
122600,LOS ANGELES PIERCE COLLEGE,CA,Public,562,981147,470,826815,2014_2015,4
122700,LOS ANGELES TRADE-TECHNICAL COLLEGE,CA,Public,405,656735,131,256742,2014_2015,4
122800,LOS ANGELES VALLEY COLLEGE,CA,Public,439,623617,324,557421,2014_2015,4
122900,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,CA,Private-Nonprofit,40,71423,52,135402,2014_2015,4
123000,MARSHALL B. KETCHUM UNIVERSITY,CA,Private-Nonprofit,0,0,0,0,2014_2015,4
123200,AMERICAN RIVER COLLEGE,CA,Public,530,753010,411,574283,2014_2015,4
123300,SACRAMENTO CITY COLLEGE,CA,Public,462,647853,397,504433,2014_2015,4
123600,MENLO COLLEGE,CA,Private-Nonprofit,21,55250,22,37706,2014_2015,4
123800,MILLS COLLEGE,CA,Private-Nonprofit,12,34875,12,34099,2014_2015,4
123900,MIRACOSTA COLLEGE,CA,Public,93,152317,85,130428,2014_2015,4
124200,MONTEREY PENINSULA COLLEGE,CA,Public,122,143643,97,112598,2014_2015,4
124300,MOUNT SAINT MARY'S UNIVERSITY,CA,Private-Nonprofit,818,1388950,845,2032733,2014_2015,4
124500,MOUNT SAN ANTONIO COLLEGE,CA,Public,313,305338,92,101025,2014_2015,4
124700,NAPA VALLEY COLLEGE,CA,Public,41,56583,32,59921,2014_2015,4
124900,OCCIDENTAL COLLEGE,CA,Private-Nonprofit,1,5500,2,5796,2014_2015,4
