museum,location,#_objects,latitude,longitude
Sidney and Lois Eskenazi Museum of Art,"Eskenazi Museum of Art, 1133 E 7th St, Bloomington, IN 47405, United States",7,39.16849,-86.51977
Musée d'Ethnographie de Genève,"Boulevard Carl-Vogt 65, 1205 Genève, Switzerland",7,46.19777798,6.136386523
"Museum of Fine Arts, Boston","465 Huntington Ave, Boston, MA 02115, United States",7,42.33959074,-71.09420345
Art Institute of Chicago,"111 S Michigan Ave, Chicago, IL 60603, United States",7,41.87592599,-87.61929001
Detroit Institute of Arts,"5200 Woodward Ave, Detroit, MI 48202, United States",6,42.35941901,-83.06438303
"Stanley Museum of Art, University of Iowa","125 N Madison St, Iowa City, IA 52242, United States",6,41.66305507,-91.53838195
Städtisches Museum Braunschweig,"Steintorwall 14, 38100 Braunschweig, Germany",5,52.26098999,10.53186997
Museum Ulm,"Marktpl. 9, 89073 Ulm, Germany",5,48.39685999,9.994549998
Musée des beaux-arts,"1380 Sherbrooke St W, Montreal, Quebec H3G 1J5, Canada",5,45.49841891,-73.57922978
"Nationalmuseet, National Museum of Denmark","Prince's Mansion, Ny Vestergade 10, 1471 København K, Denmark",5,55.67449533,12.57468671
North Carolina Museum of Art,"2110 Blue Ridge Rd, Raleigh, NC 27607, United States",5,35.80620898,-78.70427298
Roemer- und Pelizaeus-Museum Hildesheim,"Am Steine 1, 31134 Hildesheim, Germany",4,52.14951,9.944109968
South Australian Museum,"North Terrace, Adelaide SA 5000, Australia",4,-34.92172168,138.5971164
MIM Musical Instrument Museum,"10 Parc du Cinquantenaire, 1000, Belgium",4,50.83935077,4.391718872
"AfricaMuseum, Royal Museum for Central Africa","Leuvensesteenweg 13, 3080 Tervuren, Belgium",4,50.83085789,4.518530865
Princeton University Art Museum,"Elm Dr, Princeton, NJ 08544, USA",4,40.34534533,-74.65777294
Royal Ontario Museum,"100 Queens Park, Toronto, ON M5S 2C6, Canada",4,43.66779542,-79.39421233
